x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-95.69957,-68.428444,2.2587051,36.700348,78.42357,87.235596,40663.117,822.0507,74951.1,570238.56,2742501.8,3575331,0.96,1,-91.88203,51.10823,102.181984
-154.7615,-149.33746,-148.32574,-121.5529,-104.17478,-64.435394,1178569.8,951304,912848.3,252756.81,81586.23,243.72133,0.92,2,-65.86699,32.095627,81.864334
-107.35954,-87.420456,-87.38115,-85.27228,-64.46828,-63.709343,102978.82,17814.986,17737.38,13928.621,246.72058,183.41277,0.88,3,-63.829254,23.886915,41.151478
-91.02484,-73.08156,-67.59323,-65.65222,-65.46417,-48.877308,26073.094,2279.1936,660.1515,371.76184,349.57193,-6.4569893,0.84,4,-49.040047,14.789018,20.597908
-64.823044,-63.028587,-58.48792,-55.217144,-49.381393,-34.52671,280.6413,136.40279,-8.8484335,-16.380463,-5.653668,455.01965,0.8,5,-50.344223,8.337309,10.371862
-60.517433,-59.430473,-56.340973,-53.23106,-44.036255,-43.429398,27.075226,3.47544,-17.883226,-10.291157,-16.351427,-14.746243,0.76,6,-43.496075,4.267393,5.3065033
-47.115913,-46.57305,-46.40046,-44.891693,-42.341015,-39.886616,-11.0980425,-12.764267,-13.278654,-16.52215,-7.515714,40.81108,0.72,7,-46.7761,2.3433087,2.678986
-49.37245,-48.873768,-47.613995,-47.2262,-46.15913,-45.555496,-5.665198,-6.463689,-9.592223,-10.759074,-13.970808,-15.475964,0.68,8,-45.56894,1.3298379,1.3667362
-46.90874,-45.699657,-45.17771,-45.068264,-44.8044,-44.7051,-11.737411,-15.154111,-16.1706,-16.324837,-16.594334,-16.654558,0.64,9,-44.7073,0.9260587,0.6837303
-45.322784,-44.959568,-44.441692,-44.175858,-44.106243,-44.09151,-15.931844,-16.45417,-16.691654,-16.527714,-16.447975,-16.429033,0.6,10,-44.106136,0.52451277,0.34213606
-44.29533,-44.138203,-44.11037,-44.102547,-43.921055,-43.689037,-16.62814,-16.486568,-16.45315,-16.44329,-16.155355,-15.611483,0.56,11,-44.282795,0.28939438,0.18266827
-44.438995,-44.384346,-44.228043,-44.21885,-44.101856,-44.03147,-16.691051,-16.674318,-16.577133,-16.569056,-16.442413,-16.344208,0.52,12,-44.425545,0.14482261,0.23528263
-44.556755,-44.51666,-44.427467,-44.322594,-44.297943,-44.29041,-16.69834,-16.700174,-16.688244,-16.644821,-16.629837,-16.624886,0.48,13,-44.55202,0.072461724,0.33940408
-44.88405,-44.820023,-44.714634,-44.620018,-44.599342,-44.527817,-16.529163,-16.58271,-16.649822,-16.686665,-16.691645,-16.700104,0.44,14,-44.52858,0.038814794,0.2289532
-44.71178,-44.64346,-44.636806,-44.62701,-44.618103,-44.585697,-16.651262,-16.679668,-16.681795,-16.684725,-16.68717,-16.694317,0.4,15,-44.586594,0.04478378,0.11458433
-44.681484,-44.664204,-44.650246,-44.640755,-44.556595,-44.55541,-16.665314,-16.672295,-16.677378,-16.680546,-16.698357,-16.698473,0.36,16,-44.55624,0.06252312,0.057382282
-44.606815,-44.5967,-44.558025,-44.555485,-44.540882,-44.49866,-16.689976,-16.692202,-16.698212,-16.698465,-16.699589,-16.699562,0.32,17,-44.49901,0.059358,0.028704606
-44.510643,-44.491993,-44.48139,-44.480343,-44.462013,-44.455376,-16.70007,-16.699108,-16.69813,-16.698017,-16.695528,-16.69439,0.28,18,-44.509834,0.03559751,0.014706398
-44.516514,-44.515724,-44.50268,-44.49627,-44.488632,-44.47679,-16.700172,-16.700165,-16.699776,-16.699413,-16.698833,-16.697607,0.24,19,-44.515114,0.01781596,0.021394908
-44.52957,-44.520412,-44.517982,-44.510845,-44.50405,-44.501358,-16.700062,-16.700188,-16.700184,-16.700075,-16.69984,-16.699713,0.2,20,-44.528038,0.008948444,0.030309608
-44.550873,-44.543903,-44.5435,-44.543137,-44.539318,-44.534115,-16.698883,-16.699406,-16.699432,-16.699455,-16.699677,-16.699915,0.16,21,-44.53424,0.005384442,0.0208562
-44.550617,-44.550385,-44.5498,-44.548454,-44.538425,-44.530838,-16.698904,-16.698923,-16.69897,-16.699078,-16.699722,-16.700027,0.12,22,-44.531387,0.007837342,0.01044736
-44.54076,-44.53575,-44.534737,-44.530422,-44.529205,-44.524136,-16.699596,-16.699848,-16.69989,-16.700039,-16.700071,-16.700165,0.08,23,-44.52427,0.008372297,0.0052532586
-44.52849,-44.526836,-44.526367,-44.524162,-44.5208,-44.518925,-16.700089,-16.700125,-16.700132,-16.700165,-16.700188,-16.700188,0.04,24,-44.518993,0.011702874,0.0026329411
-44.519657,-44.514534,-44.512215,-44.51203,-44.509453,-44.508896,-16.700188,-16.70015,-16.700106,-16.700102,-16.700037,-16.70002,0,25,-44.519447,0.008107084,0.0013379455
