x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-36.287785,-13.194824,-8.147812,14.832092,24.959541,55.21782,1905.7131,134.03049,85.86392,254.61783,354.951,4456.526,0.96,1,-12.157654,56.842674,73.90498
-80.74726,-53.817627,-21.017715,-16.702713,-5.4245224,34.06762,7394.996,1855.7173,501.8459,318.99133,26.149063,871.3329,0.92,2,33.815956,28.798834,37.952072
-3.593769,0.5475273,51.300854,54.9675,60.737656,61.61715,5.329363,0.77866274,3313.8965,4586.7813,4672.6978,5295.209,0.88,3,-1.1470413,14.49305,19.012049
-8.044253,-6.945135,0.662611,1.1581879,3.2296352,9.410505,86.70619,35.39556,1.0482945,2.954588,8.525551,53.70735,0.84,4,9.146959,7.2533355,18.14356
-0.7765417,1.6620655,4.3986673,9.156916,12.858326,13.577339,-0.17886615,5.78281,31.57848,56.95514,109.22365,238.10779,0.8,5,-0.32409763,3.6658726,9.230767
-7.3354154,-4.40062,-3.6601176,-2.7684355,2.0464993,2.489379,60.15881,22.825445,6.3285375,2.0822735,7.450353,7.870767,0.76,6,2.4514408,1.8754412,7.146968
-2.400878,-1.8170443,0.21302938,0.2993269,0.31197548,2.2218857,3.1061144,2.9392385,0.23774865,0.35191584,0.36980933,7.8137693,0.72,7,-0.32110023,0.9783671,3.575666
-3.8444767,-3.590749,-2.9972496,-2.5396383,-2.3463507,-1.8378956,9.721493,5.2868576,1.6803775,2.7533214,3.2132015,2.9935877,0.68,8,-1.8511112,0.49925265,1.8758607
-2.9665928,-2.8569472,-2.1623976,-2.0066855,-1.9551432,-1.7379247,1.7005234,1.8677795,3.3972337,3.3156517,3.2413156,2.7090664,0.64,9,-2.8802395,0.27595297,0.943943
-3.7087564,-3.7030158,-3.566033,-3.1231382,-2.9788127,-2.6246147,7.1387367,7.0397773,4.9488454,1.7571795,1.6908998,2.502491,0.6,10,-2.6386752,0.19780684,0.65921587
-3.188211,-2.9318304,-2.64605,-2.615125,-2.6099315,-2.5553856,1.916209,1.7386794,2.43786,2.5310543,2.5466561,2.7080264,0.56,11,-3.1319044,0.10550436,0.33214095
-3.4350295,-3.4088633,-3.3535607,-3.3356721,-3.2707775,-3.0277777,3.4518485,3.2118165,2.7674057,2.6415546,2.25576,1.6741829,0.52,12,-3.0367966,0.062530346,0.21820621
-3.186181,-3.1544747,-3.1533465,-3.1360054,-3.1359475,-3.06257,1.9098635,1.8225315,1.8198242,1.7815666,1.7814491,1.6855454,0.48,13,-3.066244,0.064342044,0.1110137
-3.170379,-3.1414554,-3.1324449,-3.0802789,-3.0355282,-3.0063562,1.8635991,1.7929156,1.7744818,1.6994052,1.6749585,1.677026,0.44,14,-3.0075207,0.07076242,0.05601161
-3.0542161,-3.0199046,-2.9796486,-2.9787226,-2.9681487,-2.965769,1.680939,1.6743879,1.6903172,1.6909633,1.6991844,1.701246,0.4,15,-3.045945,0.038057305,0.028322654
-3.0553646,-3.0493438,-3.047158,-3.0371635,-3.0277517,-3.0234354,1.6815,1.6788099,1.6779866,1.6752481,1.6741817,1.6741736,0.36,16,-3.0235553,0.02188773,0.018339472
-3.040795,-3.031918,-3.027467,-3.0258245,-3.0150847,-3.0061078,1.6760497,1.6744752,1.6741722,1.6741412,1.6749992,1.6771009,0.32,17,-3.027475,0.012242829,0.009238422
-3.034426,-3.0310106,-3.0282748,-3.022799,-3.0186262,-3.0156949,1.6747882,1.6743877,1.6742029,1.6741977,1.6745145,1.6749017,0.28,18,-3.02399,0.0061376556,0.0064904457
-3.0283837,-3.0279286,-3.026992,-3.026138,-3.024294,-3.0214343,1.6742084,1.6741884,1.6741586,1.674144,1.6741514,1.6742711,0.24,19,-3.0258157,0.0031160272,0.0035097983
-3.0288136,-3.0281394,-3.0280454,-3.026425,-3.024399,-3.023743,1.6742299,1.6741974,1.6741931,1.6741478,1.6741498,1.6741645,0.2,20,-3.0238097,0.0020175835,0.0017883112
-3.02317,-3.0230997,-3.0227263,-3.0225887,-3.022346,-3.0223005,1.6741829,1.6741855,1.6742008,1.6742067,1.6742187,1.6742208,0.16,21,-3.0231583,0.0010521321,0.00092633785
-3.023874,-3.0238116,-3.023627,-3.023599,-3.022772,-3.0221431,1.674161,1.6741626,1.6741679,1.6741683,1.6741989,1.6742294,0.12,22,-3.023851,0.0005272709,0.0013774179
-3.0245135,-3.0244675,-3.0240424,-3.023932,-3.023765,-3.023535,1.6741476,1.6741486,1.6741569,1.6741595,1.6741638,1.6741703,0.08,23,-3.0244865,0.00026406252,0.0018921125
-3.0260592,-3.025997,-3.0259633,-3.0259464,-3.0253427,-3.024888,1.6741428,1.6741421,1.6741424,1.6741416,1.6741402,1.6741433,0.04,24,-3.0252995,0.00014308403,0.0015550771
-3.0266283,-3.026583,-3.0264094,-3.0260599,-3.025201,-3.0251656,1.6741505,1.6741498,1.6741474,1.6741428,1.6741409,1.6741412,0,25,-3.0251741,0.00012797948,0.0007785425
