x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
3.9523067,0.7490797;-0.0029949695,0.49788475;-15.209394,-2.2349262;4.7013865;0.5008797;17.44432;0;-0.0029949695,0.49788475;36.88266
11.973374,3.0573015;12.578066,-7.5867043;-11.8805895,18.671883;15.030676;20.16477;30.552471;1;11.973374,3.0573015;44.821037
11.418141,2.9189954;12.221416,-7.546305;-11.416628,16.316435;14.337137;19.767721;27.733063;2;11.418141,2.9189954;23.05159
9.770586,2.4416547;10.973837,-6.4919605;-6.9023633,10.308756;12.21224;17.465797;17.211119;3;9.770586,2.4416547;13.139897
2.9361506,0.9013953;9.108278,-6.037801;-1.1391673,1.586318;3.8375459;15.146079;2.7254853;4;-1.1391673,1.586318;20.288343
-2.1412845,-0.3224579;-7.3687515,-2.825167;-0.24995947,0.61570215;2.4637423;10.193918;0.8656616;5;-0.24995947,0.61570215;13.9781475
2.0237508,0.28914994;2.8362312,-3.6188598;0.4017321,-1.3857374;2.3129008;6.455091;1.7874695;6;0.4017321,-1.3857374;10.490114
-0.49865365,-0.053204507;-0.58990973,1.9768276;0.09437466,-0.49745822;0.5518582;2.5667374;0.5918329;7;-0.49865365,-0.053204507;7.8449407
3.2231596,0.63576967;-0.08388734,0.5528519;2.06833,1.0775324;3.8589292;0.63673925;3.1458626;8;-0.08388734,0.5528519;2.5291903
2.264787,0.30303875;0.27168033,-0.7633482;1.8891289,1.0470285;2.5678258;1.0350286;2.9361575;9;0.27168033,-0.7633482;2.5001917
0.7866399,0.10776079;0.1607967,-0.45722693;1.2275203,0.28796306;0.8944007;0.61802363;1.5154834;10;0.1607967,-0.45722693;1.5530398
-0.4093156,-0.06626348;0.07687515,-0.23478264;0.11322451,0.026813716;0.47557908;0.3116578;0.14003822;11;0.11322451,0.026813716;2.0936778
0.15612853,0.01798208;0.05970005,-0.19685382;-0.5660296,0.60719657;0.1741106;0.25655386;1.1732261;12;0.15612853,0.01798208;2.2850146
0.18461859,-0.0007303641;-0.0064360574,0.021103844;-0.5423393,0.58500564;0.18534896;0.027539901;1.127345;13;-0.0064360574,0.021103844;0.5209462
0.25118586,-0.0005609257;-0.025072806,0.06853083;-0.49984956,0.53594327;0.2517468;0.09360363;1.0357928;14;-0.025072806,0.06853083;0.32550156
-0.12065528,-0.032686383;-0.005626362,0.014814571;-0.30572465,0.24582557;0.15334167;0.020440932;0.5515502;15;-0.005626362,0.014814571;0.22115791
0.047648,-0.075356916;-0.006224945,0.015744042;0.030339755,-0.070641264;0.16803229;0.021968987;0.43998468;16;-0.006224945,0.015744042;0.12729117
0.012537922,-0.0434814;0.006791992,-0.022138525;-0.004312242,0.050048172;0.090894416;0.028930517;0.16071278;17;0.006791992,-0.022138525;0.107328355
-0.0061852504,0.030027099;0.0031594737,-0.011338174;0.0026976787,-0.008815028;0.021396331;0.014497648;0.02094543;18;0.0031594737,-0.011338174;0.06696682
-0.017835619,-0.013253825;-0.000020990614,0.00007047132;0.00034105917,-0.0009780824;0.028725779;0.00009146193;0.0035119234;19;-0.000020990614,0.00007047132;0.04744585
-0.016337212,-0.012578554;-0.005188753,-0.0047866325;0.0007733861,0.0007826481;0.009640369;0.014710922;0.0015560342;20;0.0007733861,0.0007826481;0.016815146
0.0061599165,0.0064444914;0.0011189668,0.0014026361;-0.0029137547,-0.0034337123;0.012914624;0.011890455;0.006347467;21;-0.0029137547,-0.0034337123;0.014791396
0.0016074274,0.0011053197;0.001059914,0.0002119001;0.002345317,0.0015826346;0.0074784006;0.0045088567;0.0039279517;22;0.002345317,0.0015826346;0.014268711
-0.00023902528,0.0026799706;0.000046608213,-0.00040400168;-0.0000673357,0.0006362749;0.0065052733;0.0004506099;0.001191383;23;0.000046608213,-0.00040400168;0.0074724006
-0.000035650708,0.00019265502;-0.00017013281,0.0017701869;0.000023451983,-0.0002473225;0.005932986;0.0019403198;0.003111736;24;-0.00017013281,0.0017701869;0.0065550124
-0.000053954776,-0.000039876148;0.000036949757,0.00002811104;0.00094029505,0.000694845;0.000093830924;0.00010930226;0.00039627962;25;-0.000053954776,-0.000039876148;0.0019657586
-0.00014384073,-0.000803793;-0.00000326601,0.00004793133;0.00006653168,-0.0017067867;0.00086777564;0.00005119734;0.002033874;26;-0.00000326601,0.00004793133;0.002068833
-0.000041989842,-0.000017115934;0.00043102668,0.000298433;0.001299659,0.00053433387;0.000059105776;0.00036727468;0.0004540403;27;-0.000041989842,-0.000017115934;0.0016772437
-0.00005200156,-0.0004796608;0.000024195928,0.0002616847;0.0000053440017,0.000099389;0.0008764533;0.00028588064;0.00038185553;28;0.000024195928,0.0002616847;0.0013842059
0.00008757564,0.00003921232;-0.0004557005,-0.0001793499;0.00016753277,0.00007541455;0.00012678796;0.00032139986;0.00019286413;29;0.00008757564,0.00003921232;0.001444271
