x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
-2.2778606,-2.8888922;14.6554985,4.114814;1.4790745,0.15533173;52013.625;176172.53;70554.56;0;-2.2778606,-2.8888922;37.057213
-50.011494,27.061157;-17.625076,-4.948611;12.8583145,1.3503883;727.19965;10809.753;157331.17;1;-50.011494,27.061157;18.880604
-49.721474,15.649406;-6.198639,-0.24858558;-5.3180065,-0.55849326;239.6116;36803.61;39883.04;2;-49.721474,15.649406;9.643825
-49.013626,14.54487;-6.5876455,-0.11893767;-29.970142,-3.1474628;205.34341;35501.355;1456.7976;3;-49.013626,14.54487;5.662275
-46.572235,8.00716;-8.490801,1.9820778;-43.910133,8.010701;51.347885;29622.361;48.037033;4;-43.910133,8.010701;14.154732
-44.142628,-5.5453777;-16.918657,5.2486753;-46.736984,1.7175595;14.259569;11807.578;-9.31573;5;-46.736984,1.7175595;13.994695
-54.440224,-0.029866073;-19.395966,6.4504623;-48.00222,-2.7904968;-14.204976;8606.814;-0.7073474;6;-54.440224,-0.029866073;2.6782098
-53.271202,-0.066514835;-21.584572,7.447216;-48.919334,-2.1473677;-10.41375;6366.5337;-1.767343;7;-53.271202,-0.066514835;2.6131694
-53.49232,-0.05622387;-23.13071,8.162153;-46.625923,-1.8682094;-11.125377;5073.3994;-9.114132;8;-53.49232,-0.05622387;1.3150339
-54.322018,0.0023242887;-40.93518,-9.124241;-44.22918,-1.670881;-13.83362;96.70111;-13.786268;9;-54.322018,0.0023242887;1.0956234
-54.265827,0.020132843;-40.58646,-8.597354;-42.304848,-1.2048744;-13.653991;95.189606;-5.7070274;10;-54.265827,0.020132843;0.9954798
-54.30902,0.023266895;-38.5962,-5.434081;-42.748795,-0.9018524;-13.791748;122.266594;-10.169771;11;-54.30902,0.023266895;0.53088367
-54.33268,0.024739876;-48.560677,2.8935657;-42.048737,-0.6110963;-13.866867;1.2629285;-4.010237;12;-54.33268,0.024739876;0.28137752
-55.65607,0.091362;-53.82555,1.3959241;-44.16269,0.4749877;-17.263538;-10.271061;-16.288239;13;-55.65607,0.091362;0.26010433
-56.03317,-0.2795704;-53.339867,1.3334768;-43.518166,0.46740806;-17.668396;-8.85881;-14.855733;14;-56.03317,-0.2795704;0.14272827
-56.30071,-0.19002044;-53.64807,1.2671479;-43.662025,0.37209964;-17.843634;-10.031097;-15.39608;15;-56.30071,-0.19002044;0.072598726
-56.324104,-0.053335637;-56.021477,-0.015819453;-49.857613,-0.18534726;-17.879477;-9.684597;-16.473932;16;-56.324104,-0.053335637;0.036763538
-56.321304,-0.049440242;-56.160908,-0.048886474;-51.392265,-0.032294083;-17.879646;-14.3595915;-16.692226;17;-56.321304,-0.049440242;0.022695044
-56.321716,-0.047272764;-56.220116,-0.04576475;-54.134277,-0.039905734;-17.879892;-15.555574;-16.688774;18;-56.321716,-0.047272764;0.0119682755
-56.328217,0.014515072;-56.307926,0.015371375;-50.755943,0.0047171507;-17.882404;-15.299321;-16.689585;19;-56.328217,0.014515072;0.0104794055
-56.342415,0.0047226;-56.29637,0.012284508;-55.413055,0.0016609717;-17.883244;-15.9343815;-16.6988;20;-56.342415,0.0047226;0.0053233076
-56.35266,-0.002424131;-56.344685,-0.000526604;-54.820423,0.000063481915;-17.883375;-16.193377;-16.699867;21;-56.35266,-0.002424131;0.0027977817
-56.352474,-0.0023771795;-56.25711,0.03113081;-50.454437,-0.007209049;-17.883375;-16.25527;-16.700035;22;-56.352474,-0.0023771795;0.0015062133
-56.35043,-0.0009587185;-56.337296,0.002775834;-47.022667,0.002500732;-17.88338;-16.315443;-16.700167;23;-56.35043,-0.0009587185;0.0011592868
-56.350693,0.00018538248;-56.34503,0.0016976979;-46.032417,-0.00070813653;-17.88338;-16.56634;-16.700188;24;-56.350693,0.00018538248;0.0009017783
-56.35096,0.0013964543;-56.342358,0.0039920486;-55.323566,0.0012047825;-17.88338;-16.58547;-16.700184;25;-56.35096,0.0013964543;0.00056227564
-56.35111,0.0013870802;-56.300423,0.019988641;-48.570576,-0.00004427159;-17.883383;-16.59232;-16.700186;26;-56.35111,0.0013870802;0.0004050635
-56.350918,0.0013543861;-56.33876,0.005728529;-54.889442,0.0010943364;-17.88338;-16.59671;-16.700186;27;-56.350918,0.0013543861;0.00049102225
-56.350876,0.0014172149;-56.348137,0.0024343126;-46.66954,0.0005630712;-17.88338;-16.698626;-16.700188;28;-56.350876,0.0014172149;0.00040674745
-56.350792,0.0013668558;-56.2675,0.032418795;-46.42414,0.0005239124;-17.883379;-16.71036;-16.700188;29;-56.350792,0.0013668558;0.00042772677
