x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
-0.1830759,-0.13073158;-15.784616,-2.2314599;15.928226,-1.5032567;-0.14811587;115.23295;157.15332;0;-0.1830759,-0.13073158;37.562748
12.199226,-6.986489;22.974451,3.247885;-4.711813,-0.161152;154.59584;663.10126;28.615923;1;-4.711813,-0.161152;44.353653
11.486139,-6.776247;20.721432,1.5637026;10.238424,2.1378527;226.01752;629.4726;122.59372;2;10.238424,2.1378527;36.59249
2.9408917,-3.3609753;-2.8933945,-5.807396;8.526829,1.0382591;18.9052;35.523537;90.42591;3;2.9408917,-3.3609753;12.130276
-0.021487951,0.025105238;2.109425,4.0732965;-1.3761749,-0.0799492;-0.020626599;24.204851;1.4001697;4;-0.021487951,0.025105238;10.38432
0.9927149,0.3253553;-1.7707033,-3.0859385;4.4661107,0.86263895;2.282557;12.331759;33.94394;5;0.9927149,0.3253553;10.19705
0.9097183,0.29737604;2.025725,5.4546356;3.293023,0.7618183;1.927567;37.141838;9.542161;6;0.9097183,0.29737604;5.1938505
0.013285637,0.0035782754;1.8852502,4.715057;-1.1274166,-0.34918523;0.013386726;29.108255;0.6671931;7;0.013285637,0.0035782754;3.4242768
0.8085005,-0.10123074;-0.46961772,-3.1272545;3.0564215,0.36778703;1.4875174;9.465539;7.930147;8;0.8085005,-0.10123074;2.6651855
0.76386064,-0.09861556;-0.07963908,-0.5931444;2.9651635,0.37788492;1.3445059;0.27539253;7.7749066;9;-0.07963908,-0.5931444;7.1560974
0.557845,-0.046347223;1.8938068,2.252701;1.4261836,0.29298034;0.8027909;11.986858;4.5207796;10;0.557845,-0.046347223;0.79311335
-0.07584766,-0.18533102;1.8467225,1.9317591;-0.5490502,0.02409381;-0.03859061;10.440865;-0.31563827;11;-0.5490502,0.02409381;2.9391456
-0.16537009,-0.15039182;0.3652836,0.4508549;0.711874,-0.08516306;-0.12833768;0.652296;1.188766;12;-0.16537009,-0.15039182;0.4044605
-0.17343141,-0.08321904;-0.41896036,-0.9279618;0.54371786,-0.05651652;-0.15057111;0.5589657;0.77384317;13;-0.17343141,-0.08321904;0.29847398
-0.17828223,-0.08461484;0.05267948,0.08101797;-0.22763151,0.023449097;-0.15423068;0.06063865;-0.19853476;14;-0.22763151,0.023449097;1.3236998
-0.1865107,-0.07891798;0.029878557,-0.04839158;0.36019573,-0.052764118;-0.16169341;0.03266746;0.4439675;15;-0.1865107,-0.07891798;0.083583325
-0.19428217,-0.07691864;0.37855765,0.43259984;0.049265295,0.01960349;-0.16808602;0.65692735;0.38504773;16;-0.19428217,-0.07691864;0.043041702
-0.2522626,-0.057705164;0.25058794,0.056512862;-0.14246765,-0.022730116;-0.21315007;0.13253072;0.0051850528;17;-0.2522626,-0.057705164;0.02857503
-0.37605727,-0.019870803;-0.14578336,-0.0076706335;-0.3267926,-0.017144552;-0.2858787;0.019630084;-0.25262156;18;-0.37605727,-0.019870803;0.025908954
-0.5586301,0.016079511;-0.38791502,0.014879564;-0.5813949,0.022343848;-0.301877;-0.00028228926;-0.30993545;19;-0.5813949,0.022343848;0.070336536
-0.56001973,0.0020330644;-0.49168724,0.003767691;-0.57405734,0.00419922;-0.3019071;-0.19065863;-0.31208813;20;-0.57405734,0.00419922;0.03645828
-0.5146034,0.0036662214;-0.47166705,0.005329583;-0.5170939,0.0041680587;-0.30383623;-0.3063241;-0.31803754;21;-0.5170939,0.0041680587;0.020148039
-0.5170758,0.0040041516;-0.5186422,0.004098732;-0.5169648,0.004086542;-0.31762287;-0.31799158;-0.31803817;22;-0.5169648,0.004086542;0.0124673275
-0.5122771,0.003984091;-0.49746758,0.003862333;-0.5122508,0.004017788;-0.31770906;-0.31771556;-0.31799564;23;-0.5122508,0.004017788;0.011424924
-0.5132293,0.0021741576;-0.5080228,0.002159503;-0.5131943,0.0021822613;-0.31793803;-0.31754997;-0.31802192;24;-0.5131943,0.0021822613;0.006960963
-0.5189871,-0.0021505374;-0.5168674,-0.002206668;-0.5188569,-0.002213819;-0.31794676;-0.31794494;-0.31804517;25;-0.5188569,-0.002213819;0.0037083232
-0.51909316,-0.0021322821;-0.5175569,-0.001744521;-0.51903427,-0.0021656342;-0.3179509;-0.31803346;-0.31804425;26;-0.51903427,-0.0021656342;0.0022283918
-0.5159184,-0.0006331786;-0.5157767,-0.0006467184;-0.51723146,-0.000009423151;-0.31795138;-0.31805095;-0.31804886;27;-0.5157767,-0.0006467184;0.0031085208
-0.5175278,0.00014811108;-0.5168371,0.00013587494;-0.5175172,0.00014092057;-0.31802195;-0.31805024;-0.3180547;28;-0.5175172,0.00014092057;0.00073591445
-0.51733,0.000112767026;-0.51672846,0.00010413473;-0.5173211,0.00010711253;-0.31802228;-0.31804463;-0.3180549;29;-0.5173211,0.00010711253;0.00052746123
