x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
11.476745,-18.32701;0.88713646,1.4764986;-2.0037966,-1.8981886;502.14044;25.269028;9.598415;0;-2.0037966,-1.8981886;42.155403
-6.060339,5.6401796;3.696003,2.5474262;2.3465645,10.545987;85.614975;53.03713;152.01152;1;3.696003,2.5474262;38.163273
4.903267,-4.678149;3.3220186,2.2681136;1.764265,9.333882;62.080708;41.68803;114.36876;2;3.3220186,2.2681136;19.238716
0.7513828,-0.75474834;1.3084126,-0.03834158;0.8814359,1.7115903;20.749033;15.590522;18.745316;3;1.3084126,-0.03834158;18.801395
-4.866441,-11.892357;-4.831167,-4.83136;-3.2870746,-4.973062;170.63092;56.90829;47.98756;4;-3.2870746,-4.973062;15.730015
-5.00138,-11.563919;-4.0336256,-3.9476764;-3.2086608,-4.9779434;177.9427;32.612198;42.60301;5;-4.0336256,-3.9476764;8.859137
-3.5100503,-10.795012;-1.5749657,-1.5885372;-1.6247613,-2.4835677;156.04216;42.407173;45.836365;6;-1.5749657,-1.5885372;7.6759925
1.2966251,4.1466575;-0.11790156,-0.0233154;-1.6591887,-2.4718642;35.717384;2.7422495;44.1084;7;-0.11790156,-0.0233154;4.2338924
0.22937655,1.5820029;0.28852117,0.80657303;2.574551,0.36674064;29.964907;19.65039;42.380405;8;0.28852117,0.80657303;4.2264643
-0.11812228,-0.51586175;0.38026583,0.7146519;-1.8247578,-0.13687825;22.860504;30.159214;12.297994;9;-1.8247578,-0.13687825;1.452173
0.67958826,1.2019362;-0.38901532,-0.14672282;-1.4898624,-0.1387069;23.213442;21.79523;25.782019;10;-0.38901532,-0.14672282;1.1550939
0.5349819,0.84016883;-1.3145254,-1.5267551;-1.6995469,0.22347465;25.384281;37.862087;24.396694;11;-1.6995469,0.22347465;0.64152396
-0.15217435,-0.08495355;0.7102629,-0.4173807;-0.35032257,-0.093792886;5.654688;31.83217;17.712563;12;-0.15217435,-0.08495355;1.2659665
0.2650272,0.17521715;0.60245454,-0.31540346;-0.2848191,-0.0780532;16.515984;32.455723;13.436213;13;-0.2848191,-0.0780532;0.27545023
0.86206985,-0.8607863;1.1944861,0.118379444;-0.14188161,-0.002621394;8.597979;10.664064;3.7387915;14;-0.14188161,-0.002621394;0.21522275
0.6517725,-0.6785077;1.0314186,-0.041722026;-0.014632553,0.0031096675;31.01501;1.6014261;0.044365883;15;-0.014632553,0.0031096675;0.21511838
0.689597,-0.022592194;0.9467516,-0.03760232;-0.09772207,0.015821345;26.666405;1.7300386;1.8857031;16;0.9467516,-0.03760232;0.2363905
-0.06624994,0.010186428;0.06161665,0.0038940231;-0.084649436,0.013687095;2.9515533;2.2727842;1.4256973;17;-0.084649436,0.013687095;0.12501374
-0.0066234954,0.0134032965;0.20299011,0.00089591095;0.010807874,-0.021517698;0.044322014;2.3807716;0.33550453;18;-0.0066234954,0.0134032965;0.28744748
0.06292375,0.0006073455;0.8959471,-0.025156267;-0.015012786,0.0021323678;0.18521976;2.9901276;0.045583725;19;-0.015012786,0.0021323678;0.080956966
0.015203312,-0.0013782161;0.8771864,0.0052142227;-0.00572611,0.0005517723;0.06138611;1.0366325;0.0065641403;20;-0.00572611,0.0005517723;0.059567966
-0.025065154,0.001335176;0.6260817,0.002305958;0.0020509213,-0.00014415209;0.009765625;1.0823927;0.0008382797;21;0.0020509213,-0.00014415209;0.040013958
0.011313029,-0.0090931915;0.102430955,-0.00775701;-0.0037334692,0.00049180654;0.04178047;1.0544605;0.042144775;22;0.011313029,-0.0090931915;0.056078665
0.004395202,-0.0035827588;0.63080525,-0.0007765526;-0.0019851788,0.0019749627;0.006378174;1.0018854;0.014929771;23;0.004395202,-0.0035827588;0.041792445
0.010068936,-0.004347689;0.15405151,0.00072363764;-0.0025073895,0.0010747665;0.030461311;0.9952135;0.0014753342;24;-0.0025073895,0.0010747665;0.012676813
0.0053485287,-0.0021367655;0.7397783,-0.0006429713;-0.0014029345,0.0006095441;0.0013828278;0.99549294;0.0004644394;25;-0.0014029345,0.0006095441;0.007976268
-0.007911804,0.0031507406;0.18630743,-0.00051343266;0.0014785044,-0.0005977845;0.0059633255;0.99496937;0.00050354004;26;0.0014785044,-0.0005977845;0.007421742
-0.00572563,0.0024686025;0.63769567,-0.00010416992;0.000029980903,-0.000012301956;0.00035476685;0.9950018;0;27;0.000029980903,-0.000012301956;0.005437283
-0.003697786,-0.004305015;0.37584656,0.00060581387;0.0017945457,0.0010625653;0.0059871674;0.99501705;0.00086307526;28;0.0017945457,0.0010625653;0.0049830675
0.00049672835,-0.0004227981;0.66199803,-0.000373461;-0.00050065166,0.00040816178;0.00008392334;0.9949846;0.00044727325;29;0.00049672835,-0.0004227981;0.014563028
