x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
-0.7580724,-4.5275307;-0.7862134,-3.4415245;0.2648661,1.5282936;2606.3398;1651.2714;213.1575;0;0.2648661,1.5282936;38.262
4.222519,16.765533;1.3829781,12.85434;-0.12713432,-0.6367998;123.62246;11972.251;43.90649;1;-0.12713432,-0.6367998;33.14979
0.9529786,4.4364357;3.8711042,25.966457;1.4397607,7.0843487;1244.8693;12066.5;2511.6443;2;0.9529786,4.4364357;39.274284
1.3796775,9.146735;3.9027002,23.430176;0.98105115,9.114611;5246.575;6730.9614;6645.754;3;1.3796775,9.146735;21.110474
2.1357229,16.438698;3.0504465,18.661776;0.80666554,8.35573;14108.52;8758.711;5936.7725;4;0.80666554,8.35573;9.574646
1.5163486,17.067167;2.0565884,16.714003;0.60844535,4.7664857;21809.22;15587.257;1932.881;5;0.60844535,4.7664857;9.359035
1.4842287,17.067852;0.37733382,14.242965;-0.22614852,3.0249343;22096.809;19883.037;885.84674;6;-0.22614852,3.0249343;8.856617
1.5532811,17.058676;-0.3018624,13.799589;-0.06669897,0.3204012;21450.82;18793.906;11.120441;7;-0.06669897,0.3204012;8.733254
1.5661213,16.471073;-0.6928323,12.967627;0.5602957,-2.9779603;19651.697;15596.905;1083.8484;8;0.5602957,-2.9779603;8.275058
1.9756343,15.8810005;-0.8986979,12.202861;0.5389479,-2.8567433;14347.887;12988.67;990.7045;9;0.5389479,-2.8567433;4.246259
4.49634,14.499994;-1.0776514,11.598531;0.32816088,-1.6967311;3280.7214;10897.827;326.04477;10;0.32816088,-1.6967311;3.2714052
4.260296,14.47032;-1.0985419,11.12931;0.041468948,-0.20161295;1364.7238;9850.036;5.0531974;11;0.041468948,-0.20161295;3.1308558
3.5767639,14.950216;-1.1654457,10.7191725;-0.50964904,-0.52068835;471.89453;8767.351;63.186214;12;-0.50964904,-0.52068835;3.1272857
3.8135743,14.540693;-1.7821436,9.96809;-0.52516747,-0.14306419;7.916906;4620.9404;19.870926;13;3.8135743,14.540693;0.2509518
3.7786822,14.46022;-3.1921172,8.963108;0.3233292,0.070452645;11.025501;168.00514;0.57409024;14;0.3233292,0.070452645;1.7105198
3.7774768,14.466253;-3.0304852,8.921609;0.1699042,0.37893134;11.5922165;23.121313;12.943534;15;3.7774768,14.466253;0.13112038
3.7641435,14.413859;-2.6196265,7.795492;-0.0010005385,-0.0042092204;13.647049;16.662327;1.0037746;16;-0.0010005385,-0.0042092204;1.1629606
1.3534133,5.708804;-2.9171224,8.686972;-0.28569618,-0.20290367;13.651999;18.489828;9.748518;17;-0.28569618,-0.20290367;1.0175945
3.0408635,10.689707;-1.8611331,6.621171;1.0430391,1.0299919;8.363288;18.13919;0.3375416;18;1.0430391,1.0299919;0.5126492
1.6615772,4.4891944;-1.2841237,5.354429;0.8839578,0.8870776;8.088734;15.833711;1.1306357;19;0.8839578,0.8870776;0.5177602
2.8944626,10.205872;-1.554559,5.879203;0.86102694,0.8627808;7.917416;15.833659;1.493435;20;0.86102694,0.8627808;0.30442482
1.8092161,4.7045164;-2.5105357,7.967491;1.1050738,1.2764243;7.8513646;16.034735;0.3161445;21;1.1050738,1.2764243;0.15358986
3.3044186,11.989614;-2.4139762,7.7883644;1.0910776,1.2782409;7.7278314;16.193787;0.77901417;22;1.0910776,1.2782409;0.15309635
1.2484255,2.2137334;-2.2749503,7.438735;1.0024693,1.0324726;7.749554;16.255774;0.07578478;23;1.0024693,1.0324726;0.12179113
2.9165623,10.21003;-1.4137566,5.679991;0.96709514,0.9862627;7.735036;15.725254;0.26107755;24;0.96709514,0.9862627;0.118471734
3.1725736,11.446192;-2.595714,7.93419;0.9003236,0.7833688;7.745166;15.548298;0.08399454;25;0.9003236,0.7833688;0.085571826
2.9945862,10.637869;-2.1381564,6.9829845;0.8782122,0.7715448;7.761145;15.493383;0.014840567;26;0.8782122,0.7715448;0.073298424
3.2318034,11.744817;-0.19255605,2.912983;0.8525387,0.75041103;7.7015476;15.499037;0.07738787;27;0.8525387,0.75041103;0.0734061
2.9917607,10.655141;-2.4859118,7.6804132;0.8337351,0.7327168;7.70087;15.4907;0.16903913;28;0.8337351,0.7327168;0.0707062
2.1383548,6.6181383;-0.44963777,3.500671;0.8870923,0.7763208;7.7021174;15.439139;0.024009375;29;0.8870923,0.7763208;0.04582545
