n_eval;f_min
13;76727.375
26;204.00438
123;138.35184
293;4.3358355
500;4.293513
588;1.2182722
976;0.122782886
1033;0.0666681
1084;0.06240139
1247;0.051542453
1359;0.050239325
1414;0.04914952
2389;0.041840687
2446;0.017585158
2503;0.014732998
2558;0.012250844
2611;0.010106071
2666;0.008138937
2721;0.0063585592
2776;0.004959407
2831;0.0039003792
4008;0.00093467266
4287;0.0004337736
4782;0.00027527343
5097;0.00012047033
5152;0.00005228681
5209;0.00003676797
5418;0.000021796113
5459;0.000021185986
5670;0.0000061697788
5715;0.000004517753
5756;0.000004102092
5799;0.0000039655733
5842;0.0000039585907
5883;0.0000037411937
5926;0.0000036761126
5979;0.0000036483384
6032;0.0000036299189
6085;0.000003618281
6136;0.000003610626
6189;0.0000036053657
6242;0.0000036028277
6293;0.0000036006832
6344;0.0000035988978
6395;0.0000035974313
6448;0.000003596245
6501;0.0000035953028
7142;0.0000030576186
7185;0.0000023651085
7226;0.000001774766
7279;0.000001663922
7332;0.0000016090867
7357;0.0000002118457
7410;0.00000010687273
7461;0.000000046558966
7512;0.00000002781103
7538;0.000000007270007
7591;0.0000000071261894
7642;0.0000000070534902
8723;0.000000005416908
8774;0.000000003974211
8812;0.0000000010005188
8863;0.0000000007844534
8876;0.0000000002606413
8914;0.00000000010490808
8927;0.00000000008350298
8965;0.00000000007469225
