x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
1.8918533,-0.030122727;-6.985656,-5.3272915;-7.0514526,-0.923465;8.878915;167.51201;117.11787;0;1.8918533,-0.030122727;37.214157
1.9621983,3.2294807;-2.514552,-1.8781128;8.556003,4.3970914;1.5138702;53.08426;32.92658;1;1.9621983,3.2294807;36.76288
-0.75761366,-0.9836893;8.381548,4.938217;-4.9418592,-3.2475195;28.72877;32.647556;99.34213;2;-0.75761366,-0.9836893;24.412241
-0.94006586,-0.5332706;-8.722429,-1.3806707;-4.2587924,-2.823204;26.904078;157.07484;85.96052;3;-0.94006586,-0.5332706;12.336254
1.7172518,0.9177613;-4.7847323,1.6854491;0.024046116,-1.6145811;6.479495;62.547264;28.549212;4;1.7172518,0.9177613;9.588916
-1.0595186,-0.59457624;0.9874153,-0.45745873;0.38915312,-1.1317892;28.464886;14.193313;22.964148;5;0.9874153,-0.45745873;13.19677
-1.0708736,-0.55549747;-4.657854,0.83265907;-0.720129,1.3684177;28.211653;65.37096;15.479094;6;-0.720129,1.3684177;6.2789173
-0.78739905,-0.1275859;-1.8697095,1.5163989;0.30818522,-0.94494486;21.934416;26.487143;22.871813;7;-0.78739905,-0.1275859;2.0973802
-0.38059473,0.28516993;-1.2215832,1.1411371;0.467601,-0.9508109;18.032202;21.043377;21.621065;8;-0.38059473,0.28516993;1.1778948
2.1009722,4.038788;0.2586503,-0.33188963;5.1596694,3.629938;4.7676654;18.348957;4.2035747;9;5.1596694,3.629938;1.6335504
4.295172,3.031879;0.9378464,0.70536315;5.053762,3.494814;1.5927494;8.912667;3.1909893;10;4.295172,3.031879;0.6536208
2.8466158,3.504387;0.7748327,0.59341943;4.362303,2.499123;-0.07515967;10.15773;3.3949153;11;2.8466158,3.504387;0.610544
2.7356184,3.287925;1.1445014,0.9985599;2.6757896,2.8832617;-0.61540866;6.7230034;-0.13975695;12;2.7356184,3.287925;0.58651304
2.7437491,3.118302;1.1801138,1.0990797;2.5670207,2.71802;-0.8674471;5.954296;0.91585195;13;2.7437491,3.118302;0.5023816
2.736915,3.076284;3.7497869,2.056024;3.2483637,3.222719;-0.8182094;1.1149111;-1.709204;14;3.2483637,3.222719;0.20934553
2.803654,3.058257;3.3892717,1.8492028;3.1772761,3.1372967;-1.0394862;-0.5928888;-1.8075141;15;3.1772761,3.1372967;0.20539899
3.1152816,3.0728254;3.1721902,2.9245472;3.118301,3.075759;-1.7579105;-0.80348754;-1.7585287;16;3.118301,3.075759;0.19355574
3.1527708,3.1050708;2.9900973,2.8526826;3.1033192,3.0565445;-1.7972298;-0.8622984;-1.6742712;17;3.1527708,3.1050708;0.05306864
3.1585817,3.0937667;2.9337878,2.614355;3.149814,3.0840187;-1.7931268;-0.01206696;-1.7690048;18;3.1585817,3.0937667;0.04258191
3.1597924,3.106662;3.0830102,3.043167;3.1692138,3.103116;-1.8001204;-1.4564981;-1.7745717;19;3.1597924,3.106662;0.021388099
3.1789355,3.1359918;3.1696835,3.1273897;3.173973,3.1306732;-1.8078005;-1.6939054;-1.8031714;20;3.1789355,3.1359918;0.011228345
3.1804583,3.1239347;3.1797428,3.1223598;3.1817555,3.1236901;-1.8078432;-1.7535199;-1.8079592;21;3.1817555,3.1236901;0.011602381
3.1895695,3.133885;3.170516,3.115302;3.1841514,3.1280658;-1.8080978;-1.7539728;-1.8076375;22;3.1895695,3.133885;0.0030818216
3.1878753,3.1291466;3.1801076,3.1225104;3.1868176,3.1281114;-1.8083076;-1.7533029;-1.8074124;23;3.1878753,3.1291466;0.0022069954
3.1859975,3.1312635;3.184709,3.1304016;3.185638,3.1309323;-1.8083293;-1.8051941;-1.8081522;24;3.1859975,3.1312635;0.0013255172
3.1858249,3.129306;3.18212,3.1249692;3.185367,3.1290238;-1.8083473;-1.8071548;-1.8083136;25;3.1858249,3.129306;0.0009934385
3.184403,3.129428;3.1822815,3.127431;3.1841505,3.1292057;-1.8083478;-1.808178;-1.8083389;26;3.184403,3.129428;0.0008281072
3.185045,3.1300316;3.1855164,3.1305027;3.1848836,3.1298738;-1.8083516;-1.80826;-1.8083464;27;3.185045,3.1300316;0.0005060655
3.1850667,3.130014;3.1846945,3.129646;3.1850233,3.1299725;-1.8083518;-1.808331;-1.8083493;28;3.1850667,3.130014;0.00027022237
3.185087,3.1297417;3.184867,3.129523;3.1850433,3.1297004;-1.8083521;-1.8083506;-1.8083513;29;3.185087,3.1297417;0.00016415404
