n_eval;f_min
13;15.128957
262;14.239341
275;2.3912745
494;2.0944579
509;0.015441567
591;-0.07371974
632;-0.88927156
826;-0.89001983
883;-0.9058011
1109;-0.9059386
1164;-0.9060294
1219;-0.9061071
1276;-0.9061089
1327;-0.9061135
1384;-0.9061205
1437;-0.9061219
1927;-1.2173694
2017;-1.6134694
2062;-1.646524
2107;-1.8025593
2150;-1.8053962
2207;-1.8054593
2262;-1.8078506
2476;-1.8079396
2533;-1.8081174
2586;-1.8082235
2616;-1.8083199
2641;-1.8083222
2671;-1.8083367
2728;-1.8083491
2785;-1.8083516
4091;-1.808352
4201;-1.8083521
5620;-1.8083522
