x0,0;x0,1;x0,2;f(x0,0);f(x0,1);f(x0,2);Step;XVal;radius
32.00289,-15.041658;0.4179268,0.054378986;-4.4260798,-5.843912;1551.8136;2856.21;3630.1057;0;32.00289,-15.041658;42.220673
32.534122,-14.64209;-3.5917282,-0.46733904;5.7176476,7.5492153;1505.1312;3290.985;2115.9487;1;32.534122,-14.64209;22.72628
27.442001,-8.031486;-3.0117369,-0.39187145;6.712969,4.2594166;1294.6276;3226.0728;2121.5332;2;27.442001,-8.031486;18.91117
21.388935,-3.6947272;0.7344713,0.09556615;29.135931,6.5462637;1380.0331;2823.279;616.3124;3;29.135931,6.5462637;14.261283
22.116096,-2.0613668;-2.3250494,-0.3025242;60.055225,25.300907;1264.2161;3150.1035;129.20718;4;60.055225,25.300907;7.641836
29.38063,18.363375;21.905863,2.8502889;59.216675,24.471806;427.8369;1083.3931;104.944145;5;59.216675,24.471806;4.514854
48.36196,22.644754;33.07096,20.15195;46.983948,21.213873;9.6778965;286.61548;10.570059;6;48.36196,22.644754;5.8646092
47.58026,22.233692;43.361393,23.029995;46.032608,20.753986;10.844517;53.251972;16.308695;7;47.58026,22.233692;4.53034
47.569107,22.186256;50.345978,15.770394;46.457893,20.875275;10.688957;18.009266;13.312625;8;47.569107,22.186256;2.2874932
50.698486,18.588566;47.1128,22.301125;46.488205,20.827072;2.4800296;13.631094;13.016753;9;50.698486,18.588566;1.1660322
49.490112,20.975067;49.418095,16.670683;47.22502,20.980324;1.2107414;11.422966;8.661541;10;49.490112,20.975067;1.0355202
49.527122,20.522877;50.816513,20.978277;47.097572,20.909256;0.4970132;1.6237199;9.2508335;11;49.527122,20.522877;0.6672896
49.53708,20.515278;50.542522,20.640644;47.194054,20.936527;0.47980726;0.7047554;8.750418;12;49.53708,20.515278;0.3533094
50.395638,20.094154;50.06852,20.190666;47.827797,21.087467;0.16539408;0.041048534;5.901051;13;50.06852,20.190666;0.8209953
49.812813,20.151703;49.806732,20.081852;48.413277,21.431408;0.058052808;0.044052195;4.56662;14;49.806732,20.081852;0.78481483
50.068577,19.965174;49.717087,20.019554;48.922997,21.106665;0.0059156492;0.080422245;2.384643;15;50.068577,19.965174;0.08707294
50.036186,19.955448;49.97796,19.93473;49.98829,19.942268;0.0032943096;0.10490171;0.9643146;16;50.036186,19.955448;0.06021794
49.958256,20.00053;49.94182,19.993576;49.95334,20.007168;0.001742862;0.06352108;0.6410768;17;49.958256,20.00053;0.035181332
49.957306,20.000317;49.932213,19.99078;49.939774,20.00972;0.0018228857;0.040094376;0.5914354;18;49.957306,20.000317;0.019007413
49.986935,20.013386;49.972607,20.007431;49.97065,20.031433;0.00034988197;0.004550154;0.3987326;19;49.986935,20.013386;0.009845799
50.00097,20.005539;49.9958,20.00335;49.9961,20.009342;0.000031618692;0.000038236572;0.34691983;20;50.00097,20.005539;0.0052959863
49.998093,19.998913;49.994118,19.997746;49.98853,20.00972;0.000004819958;0.000021980435;0.30411512;21;49.998093,19.998913;0.002668832
49.998634,19.999035;49.996742,19.998632;49.99282,20.006416;0.0000027964852;0.000014738471;0.16960724;22;49.998634,19.999035;0.0013789873
50.000164,20.000023;49.9982,19.999329;49.99948,20.001022;0.00000002743036;0.0000038562575;0.12262196;23;50.000164,20.000023;0.000886425
49.99997,19.999947;50.000153,20.000017;49.99195,20.013512;0.000000003783498;0.0000015827391;0.12041107;24;49.99997,19.999947;0.00067326654
49.999687,19.99984;49.999855,19.999907;49.999138,20.000576;0.00000012351666;0.000003732799;0.11836773;25;49.999687,19.99984;0.0006660803
49.999702,19.99985;49.999638,19.999851;49.999317,20.000591;0.00000011123848;0.0000003811001;0.06365325;26;49.999702,19.99985;0.00035483018
50.000034,20.000093;49.999973,20.000069;49.99801,20.004562;0.000000009913492;0.00000014652323;0.0635585;27;50.000034,20.000093;0.0001804399
50.00002,20.000084;50.00001,20.00008;49.9993,20.001652;0.000000007406925;0.000000009094947;0.063516125;28;50.00002,20.000084;0.00009992953
50.00004,19.99998;49.999977,19.999966;49.99902,20.00224;0.0000000018189894;0.000000004438334;0.061852;29;50.00004,19.99998;0.000059653164
