n_eval;f_min;min_point
13;+1.199971302273366e0;[-1.1255140304664835, -0.07445727180688255]
82;+2.196887110797647e-1;[-0.2072639656974289, -0.012424745382335844]
721;+1.779768919905185e-1;[0.014450200849471913, 0.16352669114104657]
781;+1.196269981682022e-1;[-0.011231770326155688, -0.10839522784204653]
811;+6.861330052097621e-2;[-0.0618040903974969, -0.006809210123479306]
901;+1.187862761745587e-2;[-0.0012138755451449393, -0.010664752072310935]
1084;+7.720840219275944e-4;[0.00019612328507262813, -0.0005759607368549663]
1115;+4.547815982582728e-4;[-1.0175619334982459e-5, 0.00044460597892329035]
1236;+3.559636279584647e-4;[-9.1818491021225e-5, 0.0002641451369372397]
1683;+1.807471785594437e-4;[0.0001488795767215301, -3.186760183791361e-5]
1731;+1.668010839915731e-5;[-1.999418780045722e-6, 1.4680689619111587e-5]
3384;+1.360130804120965e-5;[-9.300472307786803e-6, -4.300835733422851e-6]
5148;+1.084294241249749e-5;[-4.813392334331035e-7, -1.0361603179064385e-5]
7093;+1.493171284750070e-6;[1.4052417341572183e-6, 8.792955059285136e-8]
8444;+2.501942593323768e-7;[-2.410289150119422e-7, 9.16534432043457e-9]
8600;+1.659106808223706e-7;[-1.382530360739569e-7, -2.7657644748413696e-8]
8908;+5.359091226483771e-8;[-4.822187853539171e-8, -5.3690337294459944e-9]
10604;+1.185707172583827e-8;[-3.364152148834937e-9, -8.492919577003336e-9]
12105;+8.412132395561688e-9;[-1.1115735829621738e-9, -7.3005588125995145e-9]
12407;+2.061241456640132e-9;[1.2774751304357993e-9, -7.837663262043329e-10]
14401;+1.850931735308320e-9;[-1.2972003720427687e-9, -5.53731363265551e-10]
16375;+1.498448187919567e-9;[4.1875103583682614e-11, 1.4565730843358849e-9]
18279;+1.411457590466550e-9;[-1.341135036330518e-9, 7.032255413603227e-11]
18357;+6.666620487643016e-10;[-6.281850405482573e-10, 3.847700821604436e-11]
20038;+1.193455837460600e-10;[1.3678474029434895e-11, -1.0566710971662515e-10]
20249;+3.059303131551568e-11;[6.357615869349186e-12, -2.4235415446166496e-11]
22083;+2.496024147607828e-11;[4.8641772396634824e-12, -2.00960642364148e-11]
23984;+1.776977911241714e-11;[-1.427633462890355e-11, -3.4934444835135863e-12]
25330;+1.634659230218402e-11;[1.523670548748126e-11, 1.1098868147027565e-12]
27289;+8.419402868425620e-12;[-4.692164802486939e-12, -3.727238065938681e-12]
29199;+1.024963313398305e-12;[7.535179950480928e-13, 2.71445318350212e-13]
30763;+2.266164522770243e-13;[8.51183377889532e-14, -1.4149811448807112e-13]
32519;+1.958230681772059e-13;[1.2090773785966973e-13, 7.49153303175362e-14]
34305;+3.721094168307065e-14;[-3.5497080762485406e-14, 1.713860920585239e-15]
35921;+2.845997743823032e-14;[-2.403748844439886e-14, 4.422488993831456e-15]
37827;+1.753680463660998e-14;[8.788540826023742e-15, -8.74826381058624e-15]
39573;+1.732343003725339e-15;[-4.86163904406204e-16, -1.2461790993191352e-15]
41465;+5.933999720351686e-16;[2.9305081716419113e-17, -5.640948903187495e-16]
43288;+2.297526649350942e-17;[-1.7541214483011785e-17, 5.43405201049764e-18]
45237;+1.341317340967446e-17;[5.742526387690158e-18, 7.670647021984302e-18]
47230;+8.514376436890889e-18;[7.244968534290648e-18, 1.2694079026002395e-18]
49033;+4.215228644705157e-18;[2.07777637834743e-18, -2.1374522663577275e-18]
50978;+3.602365670692277e-18;[2.136521790267424e-18, -1.4658438804248527e-18]
52583;+1.286007700087613e-18;[7.491499614972203e-19, 5.368577385903928e-19]
54279;+8.487968503142144e-19;[-7.40185433135227e-19, 1.0861141717898742e-19]
56269;+5.372924436456596e-19;[4.569015614191165e-19, -8.039088222654309e-20]
58270;+5.168047952226700e-19;[3.9141056198315146e-21, 5.128906896028386e-19]
58285;+9.173664252941250e-20;[-1.0314971133280352e-20, 8.142167139613215e-20]
60234;+4.753782343930979e-20;[1.8520423111722297e-20, 2.901740032758749e-20]
62016;+2.781107627726640e-20;[2.3096995736828514e-20, 4.714080540437889e-21]
63986;+1.979550016702813e-20;[1.8937355678535465e-20, 8.58144488492662e-22]
65883;+1.155541574352233e-20;[-1.0354793994739846e-20, -1.2006217487824825e-21]
67416;+6.019650237190288e-21;[5.931551669535512e-21, -8.809856765477621e-23]
69023;+1.301999243386643e-21;[5.462909224622579e-22, -7.557083209243848e-22]
71033;+6.689339800489841e-22;[9.179923550688332e-23, -5.771347445421008e-22]
72936;+5.802453068859099e-22;[-2.5794828180485855e-22, -3.222970250810514e-22]
73012;+4.738828500567414e-22;[-2.12675335514041e-22, -2.6120751454270037e-22]
74517;+8.317142757018402e-23;[-1.2903352815657448e-23, 7.026807475452657e-23]
76464;+4.308929867409096e-23;[-3.9271498792085083e-23, 3.817799882005879e-24]
78290;+6.244873278183237e-24;[4.436689059881576e-24, -1.8081842183016607e-24]
80265;+1.081865875130033e-24;[3.6204870212653754e-25, 7.198171730034952e-25]
81811;+5.367491193685396e-25;[-5.025963012026422e-25, -3.4152818165897424e-26]
83283;+3.862882449303891e-25;[2.3006944427254923e-25, -1.5621880065783984e-25]
