n_eval;f_min;min_point
13;+5.707595701465251e3;[-22.308979472435674, -5.943613320667296]
67;+4.223848145474660e3;[-24.212939176569908, -1.8988473309033898]
127;+3.180225961534220e3;[-25.903795637867738, 1.446645081468869]
198;+8.933934115080965e2;[-68.68619152996337, -4.024853032834674]
252;+2.165312290942426e2;[-63.466831753699864, -7.13223363669618]
265;-1.163423092783777e1;[-46.05345045841506, 1.6206777205417744]
321;-1.271986805474887e1;[-45.14044190187198, 1.8723924033248938]
642;-1.472366576722230e1;[-44.13829764584923, -1.3277854597410077]
698;-1.590027761889561e1;[-44.768646036029125, 0.847636267484255]
756;-1.641871610002042e1;[-44.6903779691133, 0.49265740198576724]
814;-1.651867754301967e1;[-44.65154849085131, 0.3978003519069855]
829;-1.654718309617613e1;[-44.33891574561389, -0.32641344775083797]
870;-1.656844515044452e1;[-44.6267207167746, 0.34112034318603546]
885;-1.669025388457659e1;[-44.4357384769569, -0.00658543074400587]
1080;-1.669742922243533e1;[-44.541306725431866, 0.0462122059241593]
1154;-1.669973060220597e1;[-44.52321567558229, -0.021059774553524986]
1230;-1.669989272645293e1;[-44.53279169618472, -0.008379640663100424]
1306;-1.670015965874150e1;[-44.52305089893581, -0.003986519850890215]
1380;-1.670018193668270e1;[-44.518262427988596, -0.0016536216972019339]
1454;-1.670018703623649e1;[-44.520658586336054, -0.0009733858313579584]
1530;-1.670018815439365e1;[-44.51943818189865, -0.0003390286809418165]
1604;-1.670018851408840e1;[-44.520207305492086, -0.0002286538692481582]
1682;-1.670018857735570e1;[-44.519767172902675, -0.00013445159197184465]
1758;-1.670018860967854e1;[-44.519822593104735, 0.00010677423437463025]
1834;-1.670018864546683e1;[-44.519929777512694, 3.544326049362897e-5]
1910;-1.670018864557633e1;[-44.51993033394832, 3.46041702072827e-5]
2559;-1.787989837193804e1;[-56.39834315564406, 0.018154323694179145]
2925;-1.788233211638245e1;[-56.35200928781552, 0.032411704832865665]
3001;-1.788244168747025e1;[-56.35233489207212, 0.030664330297860212]
3075;-1.788329545390698e1;[-56.35786955559871, 0.005409396400843832]
3227;-1.788337969313071e1;[-56.34995055620742, -0.00018159451823592773]
3379;-1.788338074711672e1;[-56.35023079659507, 0.0002915814481403958]
3457;-1.788338257653097e1;[-56.3519381896065, 0.00039923852168610626]
3535;-1.788338277780960e1;[-56.35169243457583, 0.0004426980442486972]
3613;-1.788338293297300e1;[-56.35148937825433, 0.00032780924410515707]
3691;-1.788338302844907e1;[-56.351568347004886, 5.7086433760995675e-6]
3769;-1.788338303870410e1;[-56.351512920752995, 4.990454641051233e-6]
5577;-1.788338304068071e1;[-56.351473803542454, 3.07645413170446e-6]
7403;-1.788338304069325e1;[-56.351476790229775, 9.913416573230177e-7]
7481;-1.788338304069497e1;[-56.35147551805032, 8.070225268881727e-7]
9289;-1.788338304069546e1;[-56.35147552297043, -3.848952218971786e-7]
9365;-1.788338304069567e1;[-56.351475664397135, -1.4207802603954484e-7]
9441;-1.788338304069570e1;[-56.35147579753534, 8.05095625404778e-8]
11347;-1.788338304069570e1;[-56.35147572169751, 2.8297713017505393e-8]
13208;-1.788338304069571e1;[-56.35147576628595, -1.4802235269888541e-8]
