n_eval;f_min;min_point
7;+2.175623801564369e1;[-0.5587908655468325, 0.1750614668643795]
30;+5.508973942147149e0;[-9.766165006886855, 1.0388836856451285]
312;+9.060270767631913e-1;[-9.198075723046408, 1.084988747172502]
673;+8.380444505973104e-1;[-3.746881461657786, 1.210433202854618]
702;+8.025444378258411e-1;[-3.9276052678091364, 1.2093499244341936]
1012;+1.318768557434162e-1;[3.0383207708253503, 0.43085235398276733]
1189;+8.789856367657092e-2;[2.6670016894840964, 0.46792482160882864]
1220;+5.588463127428926e-2;[3.0255844290745344, 0.5527487231513948]
1439;+5.118274418674097e-2;[2.6023415506684273, 0.4125139793160638]
1470;+3.215647561776129e-2;[2.637965026715847, 0.39786629424578623]
2002;+5.607188635980900e-3;[2.9304273847828606, 0.49714853631973493]
2508;+4.038847572159746e-3;[2.922505707114696, 0.4920538969271606]
2565;+9.757660801845685e-4;[2.9897759087965423, 0.4909258325177111]
2603;+4.043722365678754e-4;[3.0169870038189948, 0.5080704303277428]
2625;+1.868657196989643e-4;[3.021910032094481, 0.50321016280434]
2700;+1.404702301892341e-4;[3.030111072823521, 0.5073122504819714]
2729;+1.229989525204076e-4;[3.027586206124054, 0.5072126618209043]
2784;+6.542806970332168e-5;[3.0199882028993095, 0.5052639629557721]
3248;+5.161084222729511e-5;[2.98507241529877, 0.4970990605063015]
3281;+3.841406870359730e-5;[2.9868211666899716, 0.49604267575798455]
3314;+3.125912214729547e-5;[2.986341015852, 0.4963900820122394]
3383;+8.467561710859421e-6;[3.006633091527201, 0.5018921428635306]
3405;+1.829074946975277e-6;[3.0017343505385403, 0.5006712326178346]
3436;+1.670814306482312e-6;[3.0004953597283963, 0.5003886390863039]
3527;+2.119901349610089e-7;[2.999442581304264, 0.4997778386405715]
4011;+1.750787094738454e-7;[2.9990879659552427, 0.4998163600267503]
4100;+7.622215189747738e-8;[2.999429943942001, 0.4998262212122503]
4131;+3.382848870645399e-8;[2.9999764145588914, 0.5000323995451381]
4255;+8.359917040016890e-9;[2.9998059286195082, 0.49994181969415685]
4820;+7.619108429875195e-9;[3.0002175423678183, 0.500055352243553]
4829;+3.131121065448713e-9;[2.9999581409596026, 0.5000007381567262]
4862;+1.879965351532234e-10;[3.00002197623475, 0.5000032585183339]
5482;+8.448121315277332e-11;[3.000014919263175, 0.5000022440229123]
5513;+7.419327950863864e-11;[3.000020919620354, 0.5000056113986238]
5579;+6.636929259211889e-11;[3.000016758831468, 0.5000051192394281]
5610;+3.866525139380795e-11;[3.0000118588086355, 0.5000037775534238]
5639;+1.988991184944308e-11;[3.0000073361227995, 0.5000025183383321]
5668;+8.478164601718753e-12;[3.000003329158477, 0.500001364682405]
6397;+1.731636670222367e-12;[2.9999992063776317, 0.49999953728756247]
6426;+4.843649841058038e-13;[3.0000017162519956, 0.500000401921147]
6459;+2.168169669910796e-13;[3.000000907617933, 0.5000002857560591]
7164;+3.570714940951927e-14;[3.0000004154428415, 0.5000000842965195]
7722;+2.552603938110352e-14;[2.9999996021678728, 0.4999999042442509]
7835;+5.549138744020701e-16;[2.999999972796891, 0.49999999760484815]
8486;+5.001782719569593e-16;[3.00000005371706, 0.5000000120310851]
8501;+4.623390377231927e-16;[2.999999984698941, 0.4999999919137097]
8532;+1.054393175832073e-16;[2.999999983734517, 0.4999999976206915]
8561;+8.374386264590616e-17;[2.999999977148397, 0.4999999942500708]
8577;+4.882610726804866e-17;[3.0000000141468934, 0.5000000043612716]
9253;+4.150518226721944e-17;[3.00000001610202, 0.5000000039775245]
9727;+3.505138725895213e-17;[2.999999985318657, 0.4999999965141508]
9934;+2.931102363572442e-17;[2.9999999873739744, 0.49999999646352333]
9963;+2.398160320362209e-17;[2.999999987979938, 0.49999999682679375]
9996;+1.926718408264717e-17;[2.999999989158368, 0.49999999717140586]
10023;+1.508592757530828e-17;[2.9999999903570487, 0.4999999975151768]
10712;+1.221821064211747e-18;[2.9999999993655138, 0.4999999996186486]
10719;+1.200124912379101e-18;[2.999999997386972, 0.4999999994202454]
11433;+6.715898030133005e-19;[3.00000000056839, 0.500000000304888]
11508;+3.047303656376570e-19;[2.999999998762709, 0.4999999996423158]
12197;+2.674537577169750e-19;[3.000000000914528, 0.500000000150666]
12226;+8.107411892454615e-20;[2.9999999998111555, 0.5000000000103383]
12571;+3.133189322935026e-20;[2.9999999996187263, 0.49999999992415556]
12760;+2.063648436871154e-20;[2.999999999913121, 0.5000000000074813]
12824;+7.309246177254454e-21;[2.999999999934195, 0.50000000000062]
12853;+1.883454838934534e-21;[2.99999999993325, 0.4999999999763246]
12884;+1.443600310009070e-21;[2.9999999999583347, 0.49999999999677797]
12977;+1.295309723050360e-21;[2.999999999986534, 0.5000000000040707]
13008;+3.154855024645568e-23;[3.0000000000042566, 0.50000000000217]
13638;+2.969962478984976e-23;[2.9999999999864952, 0.49999999999679967]
13667;+1.031498144948385e-23;[3.000000000002776, 0.5000000000000608]
13785;+3.704723811463287e-24;[3.0000000000045075, 0.5000000000012578]
14343;+2.441657316869484e-24;[3.000000000003836, 0.5000000000008901]
14372;+1.807401189817208e-24;[3.0000000000033267, 0.5000000000007854]
15045;+1.786794232450331e-24;[3.0000000000026144, 0.500000000000475]
15105;+2.873272758948116e-25;[3.000000000001145, 0.5000000000003418]
15169;+1.275483343968281e-25;[3.0000000000008926, 0.5000000000002205]
15754;+7.697563272851517e-26;[2.999999999999422, 0.4999999999998247]
15847;+6.224276785499440e-26;[2.9999999999995195, 0.49999999999991396]
15876;+3.430577658656132e-26;[2.999999999999664, 0.49999999999994316]
15905;+1.569391007874582e-26;[2.999999999999801, 0.4999999999999708]
15923;+5.265893061383135e-27;[2.9999999999999636, 0.5000000000000058]
16532;+2.212043015437493e-27;[3.0000000000000933, 0.5000000000000291]
17223;+3.510554287749943e-28;[2.999999999999978, 0.49999999999999106]
17931;+1.492210520911230e-28;[2.9999999999999694, 0.49999999999999234]
17962;+1.396900099823395e-28;[2.9999999999999707, 0.49999999999999234]
18000;+1.200177911583905e-28;[3.0000000000000266, 0.5000000000000061]
18031;+9.058341863233150e-29;[3.000000000000022, 0.5000000000000062]
18449;+1.973384858216937e-29;[2.999999999999994, 0.49999999999999767]
18656;+7.790001439057492e-30;[3.000000000000004, 0.5000000000000014]
