n_eval;f_min;min_point
7;+2.708382144688976e3;[1.850828965300682, 0.2505829615087789]
21;+2.285820718605034e3;[5.705498988156421, 2.0050590799296444]
30;+1.581010688612879e3;[12.60919571050391, 6.474526137784317]
55;+1.035948609289666e3;[19.206293009347817, 10.635374056401126]
78;+4.509742790927958e2;[28.939276900186908, 17.27599162890511]
94;+3.739970786931174e2;[31.296275084557152, 15.083929111520074]
101;+2.670626984458174e2;[33.668871572355336, 20.59744683913608]
110;+1.568582457514881e2;[40.16197286625673, 27.750578550483787]
117;+6.540006077419790e1;[41.93328838138291, 20.572908750383455]
142;+5.601027161132831e1;[43.30014544647304, 16.665000663731348]
167;+3.453052669632816e0;[48.356250710307364, 20.866683876778477]
194;+1.362487979056413e0;[49.08632868258859, 20.726424602278932]
280;+6.690317633482580e-1;[50.222336690088305, 20.78714557712588]
298;+4.976518787844269e-1;[50.69655543909842, 19.888364884347098]
307;+2.609510702408135e-1;[50.348609697859374, 20.373393021894103]
459;+4.689975417372039e-2;[49.92424709032964, 19.79711764283163]
503;+3.782387164362803e-2;[50.06214116500985, 19.815711239477697]
521;+3.228450944425258e-2;[49.97058745693136, 19.822744783561983]
534;+2.379360434570170e-2;[49.988132633564135, 19.84620542935598]
552;+3.696034663579100e-3;[50.04470871379685, 20.041196669455314]
565;+2.101937707334560e-3;[49.95705578235196, 19.98394597004076]
629;+1.520523766933558e-3;[49.99537108043931, 19.961281827643415]
660;+3.667185955771056e-4;[49.99766808866293, 19.980992612354846]
724;+2.666397889337164e-4;[49.99458698950294, 20.015405814041863]
740;+1.806602639438615e-4;[50.012816572684486, 20.00404916393434]
755;+1.085340789599682e-4;[50.01015907717511, 20.002308079268595]
773;+6.260787484976395e-5;[50.00442592660849, 20.006558890798452]
804;+4.308555052064584e-5;[50.0063332615617, 20.001724919856613]
819;+2.978467099131065e-5;[50.00206988367579, 19.994950222523713]
1549;+2.438393626736759e-5;[50.004868788186435, 20.00082391617474]
1580;+1.639002110526928e-5;[50.003977522489805, 19.999245456463573]
1609;+6.435925907634252e-6;[49.998570692027556, 19.997904050423426]
1642;+3.908321420494250e-6;[49.99939808557571, 19.99811691199188]
1997;+8.640722006863521e-7;[49.999099632772264, 20.00023110832072]
2024;+5.002159893147059e-7;[49.99929539226197, 20.000061187619856]
2206;+1.952730536728599e-7;[50.000440769247774, 19.999968448076295]
2268;+2.903733848937440e-8;[49.99983643693708, 19.99995220394433]
2334;+2.890199544040996e-8;[50.00016871020145, 19.99997905093398]
2431;+8.968831400682330e-9;[49.99992266031697, 20.000054657157165]
2462;+7.915171728900834e-9;[49.99994327702749, 20.00006853959526]
2493;+2.815215658263115e-9;[50.00004391801757, 19.999970227136664]
3299;+2.394471010700856e-9;[49.99995690104021, 20.000023172196173]
3330;+1.064503111950484e-9;[49.99997460664762, 20.00002048611156]
4060;+9.103809971956164e-10;[50.00002821559846, 19.999989310706262]
4164;+4.045677261052948e-10;[49.99998371136744, 19.999988199653586]
4861;+2.587853779631910e-10;[49.99998714202158, 20.00000966735584]
4973;+1.315665242604263e-10;[50.000001455919715, 20.00001137746993]
5506;+9.628037207497977e-11;[50.00000640635746, 20.00000743229145]
5539;+1.281573349920529e-11;[50.00000250043591, 20.000002561943354]
5572;+8.124666473006398e-12;[50.00000199603681, 20.000002034822728]
5605;+4.575773883828938e-12;[50.00000090731369, 19.999998062848547]
5638;+3.912147007115320e-12;[50.00000155928451, 19.999998783127445]
5797;+1.404349138714284e-12;[50.00000106642196, 19.999999483189256]
5828;+5.940229468136169e-13;[50.00000029652408, 20.00000071140454]
6606;+2.720150439594761e-13;[49.99999973425166, 20.000000448768162]
7394;+1.709738720853749e-13;[50.00000038963086, 20.00000013842566]
8162;+3.749150212589879e-14;[50.000000191786285, 20.000000026636876]
8226;+2.301477917840024e-14;[50.00000014907178, 19.999999971850695]
8980;+1.477425658890563e-14;[49.99999989892938, 19.99999993247973]
9013;+1.317938731905333e-14;[50.000000036641076, 19.999999891202854]
9077;+9.860011843340800e-15;[50.000000002192415, 20.000000099273386]
9766;+6.303019520390765e-17;[50.00000000414366, 19.999999993227977]
10630;+2.626423515962973e-17;[50.00000000341236, 20.000000003823615]
11338;+2.500849777758345e-17;[50.000000004997474, 19.999999999816296]
11362;+1.108596693145403e-17;[49.9999999980957, 19.99999999726877]
11384;+3.967356953702016e-19;[49.99999999937017, 19.999999999993136]
12091;+2.563556060301570e-19;[49.99999999952067, 19.999999999836916]
12622;+7.860604404246706e-20;[50.00000000028032, 20.000000000004988]
12741;+3.317500389494431e-20;[49.99999999994558, 19.99999999982618]
12872;+2.910444163822232e-20;[50.00000000004517, 20.000000000164512]
12896;+2.638137209888829e-20;[49.999999999935675, 20.000000000149143]
12912;+2.084715529913532e-20;[50.000000000141654, 20.000000000027953]
12927;+1.245076862438149e-20;[49.99999999993938, 20.000000000093678]
12943;+1.116078328638253e-20;[50.00000000009466, 19.99999999995309]
13767;+7.229392148238671e-21;[49.999999999976495, 19.999999999918288]
14486;+6.072284459624857e-21;[50.00000000002257, 20.000000000074586]
14519;+1.522044638840249e-23;[49.999999999998835, 20.000000000003723]
15059;+2.624634894978933e-24;[49.99999999999838, 20.00000000000001]
15710;+1.493168543176815e-24;[49.999999999999396, 20.000000000001062]
15741;+1.447414610673996e-24;[49.99999999999973, 20.000000000001172]
15750;+7.525606818063617e-25;[50.00000000000029, 19.999999999999183]
15774;+3.352469520572047e-25;[50.00000000000057, 20.00000000000011]
15838;+1.856410591038503e-25;[50.0000000000001, 20.00000000000042]
15862;+4.548887523866442e-26;[49.99999999999979, 20.000000000000007]
15891;+4.367133971303521e-26;[49.99999999999983, 20.00000000000012]
15900;+1.115764864344599e-26;[50.0000000000001, 19.999999999999964]
16668;+1.868022623563356e-27;[50.00000000000004, 20.000000000000007]
