n_eval;f_min;min_point
7;+8.562939439605337e0;[0.44302037173829767, -2.0499680313701525]
14;+7.445333671296593e0;[-0.8366924732929135, 1.4062190789706293]
35;+4.015145337553218e0;[-0.6051477897003892, -0.09906313866240923]
186;+3.986344460108196e0;[-0.18423764362040984, -0.49636638518814413]
213;+4.187748789450794e-1;[-0.04942692878063615, 0.052059624655140024]
481;+9.104026771069584e-2;[-0.004680363863820397, 0.019546911859509686]
784;+2.773510084293207e-2;[-0.0035869297834410507, 0.005590597484817023]
1102;+2.430987918210903e-2;[-0.00372108004864355, -0.004515680710336241]
1431;+1.049335303471111e-2;[0.0009200117599902907, 0.0024097281632653516]
1729;+9.850945382471110e-3;[-0.0007324524859864581, -0.0023106050915709386]
1997;+7.359857954142512e-3;[-0.0002950377176446416, -0.0017940263308230276]
2050;+3.718670370279398e-3;[-0.0009176802071178946, 0.00010810964282958004]
2238;+2.397128248521341e-3;[0.0005155020777588874, 0.0003009658074424823]
2256;+1.711637216775586e-3;[9.911324127021205e-5, -0.00041503593804604775]
2311;+6.232366971907766e-4;[5.42738862772356e-5, -0.00014588005232933274]
2350;+4.974031872002627e-4;[0.00010879617927018361, -6.000962589824842e-5]
2368;+2.067524828817113e-4;[2.956723666595686e-6, -5.158581565417055e-5]
2620;+1.632456176565711e-4;[-2.3461339151255573e-5, 3.338021383872254e-5]
2673;+7.357861133883148e-5;[-1.6164163053388814e-5, 8.775013653712607e-6]
2932;+3.998877899746844e-5;[-3.2813027502829643e-6, 9.442656100758259e-6]
2985;+2.019759686078260e-5;[9.465959180254637e-7, -4.959706395020167e-6]
3217;+4.963845512406806e-6;[1.2388680228507298e-6, 7.187427571395726e-8]
3533;+2.152469239291577e-6;[1.519114493140676e-8, -5.379009286342383e-7]
3746;+1.152175741481187e-7;[-7.721268508925942e-9, -2.7750221786000122e-8]
4046;+1.012864281335624e-7;[-2.4053270387010793e-8, -7.91351705324935e-9]
4335;+6.986734391034588e-8;[-1.0803807030132502e-8, 1.3724724096618421e-8]
4460;+3.405744664064514e-8;[-9.542821882243151e-10, 8.460715485840679e-9]
4596;+3.137513004958237e-8;[4.7815299864130275e-9, -6.2178696200882545e-9]
4651;+2.704613422110924e-8;[3.417301689907894e-9, -5.8344138351703654e-9]
4660;+2.449452196628954e-8;[-5.141773459573113e-9, 3.3258105142890226e-9]
4794;+1.137823346653022e-8;[1.6266588091499434e-9, -2.333557950927422e-9]
5081;+8.420705910339166e-9;[2.0164710382980025e-9, -6.04659649111644e-10]
5108;+5.265540892196441e-9;[-2.3327840413027136e-10, -1.29555065187614e-9]
5287;+1.235459734516553e-9;[1.1861823734975154e-10, -2.851789932664315e-10]
5399;+9.988880833589064e-10;[-2.384879777043844e-10, -7.405676993713518e-11]
5669;+3.775788570692384e-10;[-2.8383436875925645e-11, -9.002585064160499e-11]
5912;+1.026378981805465e-10;[-5.732226239889078e-13, 2.5652876457202424e-11]
5965;+8.474643209410715e-11;[-4.6446169568564475e-12, 2.067092025225689e-11]
6265;+5.313438578014029e-11;[1.3167346363534283e-11, -1.7509687421410764e-12]
6510;+4.917666274195653e-11;[1.226880539579067e-11, -7.861659237017929e-13]
6563;+2.705746737774462e-11;[-1.6947201891384828e-12, 6.548488774720408e-12]
6879;+1.354294454358751e-11;[-2.6729207315437276e-12, 2.0783282899132194e-12]
6888;+4.956035581926699e-12;[9.003785680750634e-14, 1.2357229957642862e-12]
7122;+2.778222096821992e-12;[-6.711201857348207e-13, 1.7960553104597909e-13]
7310;+9.308109838457312e-13;[-1.635920804365344e-13, 1.6647990864058737e-13]
7619;+8.810729923425242e-13;[-1.9119942746727171e-13, 1.1004933239127669e-13]
7753;+5.897504706808832e-13;[1.0864482461734989e-13, 1.0010848093597222e-13]
7816;+4.867217739956686e-13;[8.906327834642982e-14, 8.295770296611207e-14]
7906;+2.984279490192421e-13;[5.0163352426338e-14, 5.497225305509401e-14]
7922;+1.740829702612245e-13;[-1.0818990697884644e-14, 4.17597885173213e-14]
8185;+8.881784197001252e-14;[1.926818741401092e-14, -1.155664648492392e-14]
8242;+8.526512829121202e-14;[-2.1392881277058038e-14, 1.4106907164007483e-15]
8313;+4.973799150320701e-14;[-8.847547129285948e-15, 9.027031649473423e-15]
8618;+3.907985046680551e-14;[1.1206545828389074e-15, -9.351332633301859e-15]
8941;+3.197442310920451e-14;[-2.4371907332395953e-15, -7.930623547403648e-15]
9003;+2.842170943040401e-14;[3.721365824218846e-15, -5.420444852161186e-15]
9311;+1.421085471520200e-14;[-1.6238271173086558e-15, 3.569880821634476e-15]
9436;+7.105427357601002e-15;[1.999092347885629e-15, 1.18687901413574e-15]
9499;+3.552713678800501e-15;[1.4758874500673103e-16, 8.217387876098501e-16]
9553;+0.000000000000000e0;[9.549768573948067e-17, -1.5372362596750713e-16]
