n_eval;f_min;min_point
7;+4.096283832445391e1;[-7.588275303186389, 0.7434171091155026]
157;+1.923851365000868e1;[4.318957702359597, 0.15007081620248058]
202;+1.912299158759342e1;[3.550220542808952, 0.08998818372204279]
211;+5.804440494094959e0;[-12.950324892465368, 1.673774158185516]
450;+5.521747047715921e0;[28.68002759610856, 8.22807659697036]
680;+3.630905797936023e0;[29.376546876293826, 8.630862971501962]
928;+2.303411058083895e0;[-12.907461599558182, 1.6665429100658717]
1179;+1.839978237869195e0;[28.934503660130282, 8.372265454249389]
1218;+2.021181034266349e-1;[-22.416564641123777, 5.025023095438252]
1517;+9.932424255229050e-2;[-12.71103314471409, 1.6157041575450974]
1706;+5.894293335015505e-2;[-12.668157781064355, 1.6048223197389198]
1864;+5.477066701317419e-2;[-12.706608797452077, 1.614579148069235]
1901;+4.558279913621033e-2;[-12.706618381310872, 1.6145815411691775]
1950;+3.280769456227638e-2;[-12.706626980619756, 1.6145836889497436]
2137;+3.017097263445357e-2;[-12.70669613229105, 1.614601266947292]
2336;+2.837815923999758e-2;[-12.71111284785377, 1.6157238984692683]
2645;+2.793268106075755e-2;[-12.711104043701514, 1.6157216601655593]
2811;+2.735773674063452e-2;[-12.706695021068256, 1.6146009835759523]
2911;+2.723072748365115e-2;[-12.706695023164421, 1.614600984119797]
3060;+2.722707373028829e-2;[-12.71111220126287, 1.6157237339322823]
3243;+2.712087266149906e-2;[-12.706696010379245, 1.6146012350015875]
3342;+2.709630329065246e-2;[-12.706695140711648, 1.6146010139899363]
3520;+2.708633164077089e-2;[-12.706696013121888, 1.6146012356989143]
3811;+2.707117479980215e-2;[-12.706696011495106, 1.6146012352854546]
4035;+2.706993163990607e-2;[-12.70669514076673, 1.6146010140038491]
4166;+2.706905957928540e-2;[-12.706695223685985, 1.6146010350764426]
4262;+2.706695223685987e-2;[-12.706695223685987, 1.6146010350764428]
4561;+2.706695140886026e-2;[-12.706695140886026, 1.6146010140341656]
4868;+2.706695140607577e-2;[-12.706695140607577, 1.6146010139634022]
5115;+2.706695140445460e-2;[-12.70669514044546, 1.6146010139222025]
5303;+2.706695140445392e-2;[-12.706695140445392, 1.6146010139221856]
5449;+2.003443133128964e-2;[-9.22043545965513, 0.8501642856778691]
5689;+1.509888739142452e-2;[-9.220433117863994, 0.8501638741437314]
5932;+1.486000306892251e-2;[-9.230563572818014, 0.8520330335837105]
5989;+1.249595660086133e-2;[-9.23056344455269, 0.8520330127335966]
6239;+1.122869092629114e-2;[-9.231577477636296, 0.8522202285123409]
6477;+1.107954965977009e-2;[-9.231170206481396, 0.852145032660239]
6618;+1.056304964490041e-2;[-9.220431725055949, 0.8501636111983504]
6771;+8.793688798489968e-3;[-9.220431807160214, 0.8501636272045194]
6951;+8.269659867915790e-3;[-9.23171441894633, 0.8522455111642497]
7055;+8.104391393872984e-3;[-9.231714425742389, 0.852245512366832]
7309;+7.871082562134618e-3;[-9.23056360375081, 0.8520330444320143]
7407;+7.811913748590910e-3;[-9.230563554219591, 0.852033035286252]
7535;+7.797381199957175e-3;[-9.23171446696659, 0.8522455199946908]
7766;+7.753360615892158e-3;[-9.23056355634943, 0.8520330356777144]
7821;+7.717256034748625e-3;[-9.230563556343986, 0.852033035677005]
8006;+7.716522158179640e-3;[-9.230563001049262, 0.8520329331633465]
8109;+7.696873403623312e-3;[-9.231714478011634, 0.8522455220353158]
8382;+7.690230918050871e-3;[-9.231714478043854, 0.8522455220412396]
8513;+7.687325568155643e-3;[-9.231714478020251, 0.8522455220368852]
8579;+7.687325568080148e-3;[-9.2317144780278, 0.8522455220382831]
8634;+7.686654285308101e-3;[-9.231714478027703, 0.8522455220382616]
8888;+7.685642971807485e-3;[-9.231714478018514, 0.8522455220365657]
9000;+7.685436176544047e-3;[-9.23171447802839, 0.8522455220383907]
9073;+7.683908890804256e-3;[-9.231714478040852, 0.8522455220406908]
9374;+7.683908890802427e-3;[-9.231714478041035, 0.8522455220407245]
9553;+7.683908890785605e-3;[-9.231714478042717, 0.8522455220410352]
9588;+7.682855219726577e-3;[-9.231714478027342, 0.8522455220381965]
9782;+7.682855219678313e-3;[-9.231714478032169, 0.8522455220390875]
10038;+7.682855219611753e-3;[-9.231714478038825, 0.8522455220403166]
10205;+7.682855219611717e-3;[-9.231714478038828, 0.8522455220403171]
10434;+7.682855219559474e-3;[-9.231714478044053, 0.8522455220412818]
