n_eval;f_min;min_point
7;+4.007823408465996e2;[5.287854545751952, -19.02193533225709]
21;+5.163702548606353e1;[-3.9190630389531016, -6.349707985381331]
193;+4.479451942829324e1;[5.438880963944978, 2.8347330911037387]
202;+3.537799516084306e1;[-4.883252436829231, 2.2762776393555653]
243;+2.609318175867754e1;[6.083031144353452, -0.21399488622443275]
259;+2.264146532110131e0;[-2.7820931333453736, 0.467176970578737]
502;+4.217639119182405e-1;[-0.33514234947554744, -0.8298165554741209]
553;-2.091657287383158e-1;[-0.564923781083162, 0.32360939218409757]
841;-3.083822233994916e-1;[-0.44567257554061007, -0.03272038332988754]
1047;-3.163584466104084e-1;[-0.4892716391409011, 0.01852283051679795]
1141;-3.171743919705513e-1;[-0.5187440870130421, 0.02960217759024063]
1239;-3.174604064968021e-1;[-0.5215446139033129, -0.023684080356721093]
1284;-3.176679924390379e-1;[-0.5227978971238488, 0.0181976364814117]
1433;-3.180493137288819e-1;[-0.5154236473907662, 0.0002630547230301852]
1741;-3.180531622262095e-1;[-0.51808894685142, 0.0005959800110935454]
1902;-3.180534595238424e-1;[-0.5173596352983232, 0.0011936738909372247]
1993;-3.180546106636070e-1;[-0.517552836254891, -0.00030844702671210334]
2057;-3.180548145938948e-1;[-0.5173997557548758, -0.00020876179450201644]
2296;-3.180548458237956e-1;[-0.5170927511485093, 0.00026039490978750255]
2347;-3.180548998195165e-1;[-0.5170627555301608, -3.651355631324986e-5]
2506;-3.180549271638785e-1;[-0.5172296876884176, -5.442469419810296e-5]
2650;-3.180549284067669e-1;[-0.5171607362836035, 4.135912472690409e-5]
2944;-3.180549289394919e-1;[-0.5171911771105484, -5.706953789589718e-5]
3103;-3.180549312888041e-1;[-0.51717241495072, 3.7504045338583865e-6]
3241;-3.180549319434977e-1;[-0.5172066397167702, -7.2460423115585534e-6]
3414;-3.180549320615939e-1;[-0.5172047435174902, -2.1277608877882204e-6]
3527;-3.180549320672480e-1;[-0.5171991977571037, 1.1440418823159299e-5]
3766;-3.180549321851383e-1;[-0.517195763190357, -6.336090560087429e-6]
3819;-3.180549321958920e-1;[-0.5171911800265068, 7.577056527110255e-7]
3873;-3.180549322119803e-1;[-0.5171943977969549, 3.535018060047291e-6]
3909;-3.180549322159692e-1;[-0.5171948874279384, 3.0913178631255333e-6]
3961;-3.180549322195237e-1;[-0.5171934276731835, -6.067862482799695e-7]
4009;-3.180549322207994e-1;[-0.5171946734974987, 2.090979406745544e-6]
4018;-3.180549322247516e-1;[-0.5171945559889036, 3.9596075071321516e-7]
4075;-3.180549322254500e-1;[-0.5171948820376755, -2.6171841121833423e-7]
4084;-3.180549322256234e-1;[-0.517195025502619, -2.106399391560483e-7]
4325;-3.180549322256384e-1;[-0.5171952515773504, 3.41418469558672e-7]
4350;-3.180549322257546e-1;[-0.5171952441130817, -1.8052849649197382e-8]
4655;-3.180549322257549e-1;[-0.5171952510487818, -1.1276626070891664e-8]
4940;-3.180549322257549e-1;[-0.5171952434784057, -5.783304083441534e-9]
5220;-3.180549322257550e-1;[-0.5171952442327739, -4.576214071235906e-9]
5510;-3.180549322257550e-1;[-0.5171952448728819, 2.5665558933043855e-9]
