n_eval;f_min;min_point
7;+7.943090292845695e2;[0.0406701557445808, 28.125378154062105]
14;+6.953128554309393e2;[23.65599072990816, -10.312032803240918]
21;+4.550949067718478e2;[-14.920660615400278, -14.599790688665214]
44;+2.112474258690907e2;[-8.92555994347685, 11.177127585702333]
53;+8.560397653446164e1;[-1.4657237837295434, -7.966784704423459]
89;+4.207313082065075e1;[2.281924704490925, 2.5992624708118583]
150;+2.958434529398654e1;[1.2517440818009478, 2.743974475617351]
191;+1.783324672809282e1;[1.75096596979273, 2.055542889429381]
228;+1.932649134286251e0;[-1.062918863709088, 0.012612837152955783]
540;+5.848776754789533e-1;[-0.04194394841333682, -0.034693476854778305]
942;+5.716149967955921e-1;[0.02901498337427444, 0.04533739327904063]
1172;+4.586336896285985e-1;[-0.004222081735396139, -0.0480766377092442]
1354;+2.867918621050265e-1;[0.020043542994848007, -0.03237213857277531]
1405;+1.375028458845353e-1;[0.0038287786234449924, -0.02607564841870042]
1453;+1.074963285450341e-1;[-0.0007232426088142764, -0.023286832533201008]
1677;+4.441642444961502e-2;[-0.0025605974911388904, -0.014747212990327746]
1808;+1.129944541054861e-2;[-0.004700561667234211, 0.005904694569889533]
1870;+6.082293567352792e-3;[-0.0006423399344692741, 0.005499848997372214]
1996;+4.070887492003905e-3;[-0.00401654118538098, -0.0020946876268969983]
2005;+2.724357062930949e-4;[0.0006988092179066728, 0.0009406846577377764]
2062;+5.835384590646697e-5;[0.00039704659578095774, -0.000369442932051893]
2119;+2.940891983449490e-5;[0.0003652213212205262, -0.00012185975422968938]
2401;+2.309896975205561e-5;[-0.00022855567028216264, -0.00025336382923842255]
2580;+2.464988403616530e-6;[-0.00010597570533044714, -3.455405205075128e-5]
2637;+4.054283824217464e-7;[2.7569935386838908e-5, 3.5825549391067514e-5]
2690;+1.048675688508638e-7;[2.2978949103971653e-5, -7.452200101915434e-7]
2699;+7.914337452064046e-8;[-1.2412248655000157e-5, 1.564800728872676e-5]
2945;+1.268739069359981e-8;[-3.399054100492349e-6, 7.238613582420662e-6]
2954;+1.180585762483588e-8;[-5.693547144690683e-6, -5.204924691532587e-6]
2998;+9.224262242923942e-9;[-4.38836286725173e-6, 5.2189434013455966e-6]
3144;+8.637481840878536e-9;[3.121758660674826e-6, 5.813093864905228e-6]
3189;+1.442277408614245e-9;[2.2008298983188105e-6, -1.557622129398403e-6]
3299;+1.205577859764162e-10;[3.2615597025953184e-7, -7.080217599154847e-7]
3343;+9.971223846605426e-11;[4.878685371815731e-7, 5.143746863291896e-7]
3630;+4.855316149132705e-11;[3.5619091576197914e-7, 3.4330476969994684e-7]
3926;+1.901589996577968e-11;[-2.512636725908162e-7, 1.8085954637866215e-7]
4074;+1.874411736935144e-11;[1.3419768650389484e-7, 2.765375031857516e-7]
4108;+1.454303344416985e-11;[-2.401711356554737e-7, -1.2500595434553501e-7]
4174;+6.028955112924450e-12;[1.0240039656269911e-7, 1.4110052799868124e-7]
4220;+2.039257651631488e-12;[9.150120318785183e-8, 4.3638060639803785e-8]
4229;+1.278976924368180e-13;[2.5169833940852907e-8, 2.716290511053684e-9]
4379;+1.190159082398168e-13;[6.3788855502465605e-9, 2.3780519375215302e-8]
4424;+5.329070518200751e-14;[1.3085583670720076e-8, 1.0059720309434143e-8]
4461;+2.309263891220326e-14;[2.6000377385965317e-9, -1.0586126246834558e-8]
4516;+2.131628207280301e-14;[5.96156418911326e-9, -8.669462582521301e-9]
4532;+8.881784197001252e-15;[1.1109890572835571e-9, 6.5204423468164095e-9]
4541;+7.105427357601002e-15;[5.317673858152468e-9, -2.7260536628297947e-9]
4807;+0.000000000000000e0;[-1.2214310159995184e-9, 9.68927732339576e-10]
