n_eval;f_min;min_point
7;+1.156051142477311e5;[12.513548648218238, 42.05679432676084]
44;+4.459293104475598e4;[22.257623641512108, 3.9802006064833053]
60;+1.061753951774411e4;[37.191276762361554, 325.7161364963481]
187;+1.565517624822981e3;[38.01482991806825, 348.10622965598884]
303;+1.147064120276622e3;[31.747221920029702, 154.78542997262963]
490;+5.690734655173835e2;[17.835225824607193, 22.321807191165263]
544;+7.816095127272467e0;[19.106415379010098, 20.592813324869162]
597;+1.507982114543812e0;[20.47719826577935, 20.338833461096094]
811;+6.805869815952871e-1;[21.404996723061707, 22.04588822296159]
865;+1.711050307720412e-1;[21.409729545453082, 21.981656959689357]
893;+1.651904386778546e-1;[21.343748251862646, 21.783973521532133]
1115;+1.232400893636790e-1;[21.33916952795078, 21.8024326847055]
1268;+6.650113000423829e-4;[21.018411279521743, 21.03535588731927]
1499;+5.523021293117018e-4;[20.978067110021556, 20.955771171791778]
1548;+5.394607441901022e-4;[20.977136403093226, 20.954386689874354]
1772;+4.966097546024088e-4;[20.98361911306372, 20.969017441107688]
1823;+2.840752165586122e-4;[20.98578839157534, 20.970872632649602]
1830;+8.394307726604840e-6;[21.00284031444626, 21.005745873334646]
2058;+6.682088342714038e-8;[21.00017798516594, 21.000374748253993]
2186;+3.131638327842950e-9;[20.999953908426445, 20.999904645327728]
2333;+1.450698079836081e-9;[20.99996930032673, 20.99994085598751]
2347;+8.779171218192288e-10;[20.99997247921877, 20.9999460570279]
2513;+1.267518440930667e-10;[20.999992610739422, 20.999986070948964]
2621;+6.271319247440014e-11;[20.99999460676234, 20.999989793434615]
2796;+4.325198993992671e-11;[20.999995381507524, 20.99999123124058]
2805;+5.273314881022301e-12;[21.000002135511657, 21.000004186594182]
2849;+3.423418936447193e-12;[20.99999824057415, 20.999996538408677]
2900;+3.006173379200066e-12;[20.999998361334498, 20.999996666019342]
2907;+2.033442735318493e-12;[20.99999983545895, 20.999999812564283]
3129;+9.021676480502817e-13;[20.999999179565908, 20.99999831127274]
3180;+5.943590246737252e-13;[20.99999929593863, 20.999998623287404]
3189;+5.118289862765333e-13;[20.999999539632388, 20.99999913402726]
3196;+1.864335173456494e-13;[20.99999977640251, 20.999999589742544]
3231;+4.779237203826719e-14;[21.000000001341135, 21.000000024543326]
3322;+3.543777073012344e-14;[20.999999863306506, 20.999999739556237]
3420;+2.748654119985212e-14;[20.999999846820714, 20.999999687299017]
3471;+2.095238309968044e-14;[20.999999855641818, 20.999999712347133]
3492;+5.823358809025739e-15;[21.000000076269444, 21.000000152287285]
3499;+5.547439417840873e-15;[21.000000071692256, 21.000000145403575]
3506;+2.100456386340463e-15;[21.00000004420599, 21.000000089621473]
3612;+2.048250682380060e-15;[21.000000030126294, 21.00000006362995]
3666;+1.858587269553789e-15;[21.0000000179951, 21.00000003207259]
3710;+9.989901515620322e-16;[21.000000030641125, 21.000000060506935]
3717;+2.023819491225743e-16;[21.00000001420923, 21.000000028349202]
3770;+1.984249474732989e-16;[21.00000001392204, 21.000000027629564]
4067;+1.444795955218461e-17;[20.999999996955147, 20.999999993682767]
4296;+9.575266743103062e-19;[20.999999999348937, 20.999999998624823]
4303;+8.494935571916430e-19;[20.99999999914823, 20.99999999833167]
4446;+3.361028936043508e-19;[21.000000000545427, 21.000000001071204]
4489;+2.985780755011323e-19;[21.000000000539952, 21.00000000107152]
4526;+1.801809942699332e-19;[20.999999999786887, 20.999999999610484]
4577;+4.131143100044406e-20;[20.999999999805535, 20.99999999960516]
4884;+1.507865408067381e-20;[21.000000000120316, 21.000000000243087]
5164;+9.300477161354523e-21;[21.000000000041375, 21.00000000009146]
5396;+1.627916083208150e-21;[21.000000000019256, 21.000000000042057]
5436;+9.423724295834538e-22;[20.99999999996978, 20.99999999993902]
5445;+4.419721837382706e-22;[21.000000000020115, 21.000000000040842]
5487;+1.787041823347967e-22;[20.999999999989704, 20.99999999998026]
5569;+1.782970038899578e-22;[20.999999999987608, 20.99999999997472]
5610;+1.767817851067583e-22;[20.999999999986727, 20.999999999973532]
5672;+1.367501233926680e-22;[21.00000000000504, 21.000000000009027]
5723;+3.143877026747335e-23;[21.000000000004952, 21.000000000009642]
5949;+3.247532087515927e-24;[20.999999999999417, 20.999999999998664]
6000;+8.362682901811737e-25;[20.999999999999346, 20.99999999999863]
6131;+7.391816008538134e-25;[20.99999999999914, 20.99999999999828]
6243;+5.458791246384566e-25;[20.999999999999797, 20.999999999999524]
6278;+1.052151120947577e-25;[20.999999999999844, 20.99999999999966]
6500;+5.154732699076180e-26;[21.000000000000078, 21.000000000000135]
6547;+7.522577592187569e-27;[21.00000000000005, 21.000000000000092]
6554;+7.371116298385134e-27;[20.999999999999922, 20.99999999999984]
6695;+7.270142102516845e-27;[21.000000000000085, 21.00000000000017]
6937;+3.155443620884047e-28;[21.000000000000018, 21.000000000000036]
7238;+2.019483917365790e-28;[20.999999999999986, 20.99999999999997]
7325;+1.135959703518257e-28;[20.99999999999999, 20.99999999999998]
7385;+1.262177448353619e-29;[21.000000000000004, 21.000000000000007]
7406;+0.000000000000000e0;[21.0, 21.0]
