n_eval;f_min;min_point
7;+5.861338383415439e2;[17.39256493729029, 22.306465387137035]
21;+3.798507945987665e1;[9.412438759622923, 2.8937911190964885]
98;+1.559134087634954e1;[1.5522579869887494, -0.78696466210911]
143;+1.095457546104613e1;[1.2715574640533003, 5.441719222517568]
191;+4.462393304002219e0;[1.7859060682156205, 3.848349549221075]
241;+1.547315677398592e-1;[3.0856710735820867, 2.2925064787216134]
537;-7.175388498789621e-1;[3.478323684199167, 3.401683262999266]
732;-1.522445562129126e0;[3.066612381539704, 2.97020397958304]
1136;-1.777784410968512e0;[3.1983244081841677, 3.071349726676775]
1444;-1.788972635704279e0;[3.1385974127344127, 3.1005553152791894]
1700;-1.804846324250120e0;[3.2024654031164115, 3.11526954607917]
1957;-1.808344696003046e0;[3.18435504381162, 3.129145192440212]
2187;-1.808350787974370e0;[3.185623825234012, 3.1297342924456153]
2242;-1.808350958048121e0;[3.184918963054245, 3.130098221562938]
2376;-1.808352035496847e0;[3.1851468068124644, 3.1298043807750218]
2659;-1.808352035629555e0;[3.185156565232509, 3.12980851106653]
2675;-1.808352035906416e0;[3.185156326171229, 3.1298039572131735]
2964;-1.808352035920024e0;[3.1851560648377224, 3.1298027798874473]
3249;-1.808352035922248e0;[3.1851552843160977, 3.129802643676257]
3451;-1.808352035922425e0;[3.1851555073296054, 3.1298029253898276]
3557;-1.808352035922548e0;[3.1851553278142495, 3.1298027662717898]
3853;-1.808352035922567e0;[3.1851553116525158, 3.1298028378212264]
4163;-1.808352035922574e0;[3.1851553195904736, 3.1298028328582577]
4399;-1.808352035922595e0;[3.185155368912274, 3.1298028232025734]
4638;-1.808352035922596e0;[3.1851553772682397, 3.1298028316431044]
4925;-1.808352035922597e0;[3.185155385935096, 3.1298028252114776]
