x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-93.00893,-48.877167,-37.28595,-14.5576935,-1.2157669,69.420166,97.42704,53.35226,40.88821,16.188383,2.8093126,66.87079,0.96,1,20.885063,50.22388,50.006287
-25.963066,-24.152065,-7.0912437,25.36763,37.08644,60.126297,27.85584,28.398376,9.006823,22.716732,33.223858,56.49277,0.92,2,-24.893326,26.692379,25.023043
-48.3737,-41.15915,-38.673893,-21.863506,-10.439234,-6.5327625,52.797085,44.628784,40.432526,24.672562,14.713024,9.1622715,0.88,3,-8.719004,13.984746,12.511696
-11.136269,-8.618926,-6.9288197,-5.1310024,-2.2944336,-0.9155903,15.621447,10.536795,9.026262,9.501483,4.17033,2.7262068,0.84,4,-2.4698143,9.9677105,6.255894
-8.709295,-5.9216166,-2.4521737,-0.5675616,0.71184015,1.8970561,10.725321,9.4522295,4.49804,2.7611952,3.268002,2.5238156,0.8,5,0.6338401,5.685569,3.1279535
-1.1809486,0.63284016,1.2815642,2.1027942,3.6409593,3.80021,2.7934983,3.2543159,3.1561306,2.189899,-0.07734513,-0.117825985,0.76,6,3.170672,3.279178,1.5640049
3.2051346,3.3225722,3.6096985,4.665415,6.1175017,6.2632422,0.10988591,0.052582383,-0.06709647,0.16706944,2.870112,3.2333295,0.72,7,3.2084389,1.9650035,0.79175955
3.5835736,4.0567136,4.1958714,4.466019,4.8134127,4.9176655,-0.05802262,-0.13224089,-0.10844493,0.011312962,0.32106054,0.44915843,0.68,8,3.5890708,0.9850758,0.43982142
3.4838316,3.8164375,3.87011,3.8943622,4.1131477,4.5271606,-0.019563973,-0.120726824,-0.1285361,-0.13113165,-0.12549806,0.052819252,0.64,9,3.4867592,0.49548727,0.22041342
3.4384916,3.5650108,3.597788,3.6575406,3.7383647,3.8741617,-0.0003427565,-0.051307917,-0.06301564,-0.08249885,-0.10459834,-0.12901103,0.6,10,3.722667,0.2560143,0.11021359
3.754198,3.758973,3.8739674,3.9417832,3.947762,3.9564295,-0.10830355,-0.10937858,-0.12898862,-0.13445008,-0.13469899,-0.13499105,0.56,11,3.9490294,0.17774995,0.055106893
3.9239907,3.9291754,4.0016313,4.050495,4.066312,4.0693145,-0.13348258,-0.13379931,-0.13517034,-0.13274944,-0.13136578,-0.13106942,0.52,12,3.9246633,0.11140241,0.027594006
3.9071531,3.9186604,3.9225,3.9355147,3.9476998,4.009895,-0.13225865,-0.13312733,-0.13338625,-0.13414776,-0.13469648,-0.13495469,0.48,13,3.950529,0.06503439,0.013797267
3.9608605,3.9710085,3.977302,3.9787636,4.0043344,4.0076995,-0.13510871,-0.13529706,-0.13535666,-0.13536417,-0.13510835,-0.13501966,0.44,14,3.962739,0.041001607,0.006901705
3.9575658,3.9582636,3.9626088,3.9647133,3.9734938,3.9925861,-0.13502336,-0.13504231,-0.13514924,-0.13519359,-0.13532591,-0.13531744,0.4,15,3.9872408,0.025252206,0.003451015
3.9942846,3.9956074,4.0028834,4.006109,4.006633,4.0118585,-0.13529682,-0.1352787,-0.13514268,-0.13506317,-0.13504922,-0.13489199,0.36,16,3.9943478,0.025664248,0.0021977497
3.993623,3.994749,3.9986129,4.0088716,4.018285,4.0192924,-0.13530529,-0.13529074,-0.1352297,-0.13498569,-0.13465571,-0.13461447,0.32,17,3.9936519,0.012960443,0.0017799608
3.9942684,3.99459,3.996111,3.9963722,3.9996185,4.000066,-0.13529706,-0.13529277,-0.13527107,-0.13526714,-0.13521111,-0.13520253,0.28,18,3.9942923,0.0065436354,0.0013228356
3.9931767,3.9943736,3.9961,3.997234,4.000206,4.0003924,-0.13531065,-0.13529575,-0.13527131,-0.13525343,-0.13519979,-0.13519597,0.24,19,3.9931948,0.0032932835,0.0012968903
3.9941118,3.9942966,3.994577,3.9945776,3.9948668,3.9959388,-0.13529909,-0.1352967,-0.135293,-0.135293,-0.13528907,-0.1352737,0.2,20,3.9941132,0.001693131,0.0010322704
3.993179,3.9932287,3.9939852,3.9940414,3.994218,3.9949374,-0.13531065,-0.13531005,-0.13530076,-0.13529992,-0.13529778,-0.13528812,0.16,21,3.993186,0.0008759464,0.0009725634
3.992353,3.992438,3.9926074,3.9927688,3.992898,3.9936318,-0.13532007,-0.135319,-0.1353172,-0.13531542,-0.13531387,-0.13530517,0.12,22,3.992354,0.00045804365,0.0008306706
3.9919264,3.9921632,3.992288,3.9926023,3.9926615,3.9927309,-0.1353246,-0.1353221,-0.13532066,-0.1353172,-0.13531661,-0.13531578,0.08,23,3.9919395,0.00023031663,0.0009932586
3.9910853,3.991158,3.9913104,3.991316,3.9913256,3.9918125,-0.13533282,-0.13533223,-0.13533068,-0.13533068,-0.13533056,-0.13532567,0.04,24,3.9910858,0.00012021044,0.0007929799
3.990351,3.9903784,3.9904597,3.9904964,3.9907694,3.9911654,-0.1353395,-0.13533926,-0.13533854,-0.1353383,-0.13533592,-0.13533211,0,25,3.99036,0.000064768334,0.00065399456
