x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-38.846252,17.589523,18.104004,33.407333,55.023483,76.854355,38.846252,17.589523,18.104004,33.407333,55.023483,76.854355,23.98243,12,-38.846252,50,150
-109.22794,-92.95888,-87.535286,-73.66719,-49.639862,4.328369,109.22794,92.95888,87.535286,73.66719,49.639862,4.328369,23.98243,11,4.328369,75,225
-215.41032,-159.49362,-135.95325,-28.470795,16.428558,28.796982,215.41032,159.49362,135.95325,28.470795,16.428558,28.796982,4.328369,10,28.796982,37.5,337.5
-254.09613,-209.1395,-174.20703,-172.62502,-61.8974,37.147552,254.09613,209.1395,174.20703,172.62502,61.8974,37.147552,4.328369,9,37.147552,56.25,506.25
-249.83998,-159.41888,-10.524231,0.6107483,36.669098,72.476166,249.83998,159.41888,10.524231,0.6107483,36.669098,72.476166,4.328369,8,72.476166,84.375,253.36362
-170.45169,-135.06961,-93.709694,-47.93776,54.939194,109.91193,170.45169,135.06961,93.709694,47.93776,54.939194,109.91193,4.328369,7,-170.45169,126.56131,380.0454
-541.66675,-452.34683,-223.50687,-211.45508,-195.3451,-48.196655,541.66675,452.34683,223.50687,211.45508,195.3451,48.196655,4.328369,6,-48.196655,189.84196,570.0681
-530.34143,-494.8155,-281.57935,-96.463135,-81.80469,-1.9095459,530.34143,494.8155,281.57935,96.463135,81.80469,1.9095459,4.328369,5,-1.9095459,284.76294,855.1022
-842.32446,-526.09314,-64.45154,94.51465,163.25012,190.36694,842.32446,526.09314,64.45154,94.51465,163.25012,190.36694,-1.9095459,4,190.36694,427.1444,427.5511
-114.3646,178.30368,188.26758,461.0157,558.14185,609.6121,114.3646,178.30368,188.26758,461.0157,558.14185,609.6121,-1.9095459,3,-114.3646,213.5722,641.32666
-746.1991,-667.5735,-470.6201,-345.31973,-176.51862,-65.9751,746.1991,667.5735,470.6201,345.31973,176.51862,65.9751,-1.9095459,2,-65.9751,320.3583,961.99
-820.13855,-750.30133,-595.9215,-429.36084,-291.82104,-122.63397,820.13855,750.30133,595.9215,429.36084,291.82104,122.63397,-1.9095459,1,-122.63397,480.53748,1442.985
