XVal,x-plus,x-minus
-250.23506,50,50

-230.22511,75,25

-171.9266,112.5,12.5

-74.96965,56.25,6.25

-19.761032,28.125,3.125

-6.6014137,14.0625,1.5625

5.904907,7.03125,2.34375

0.79922104,3.515625,3.515625

-8.521473,1.7578125,5.2734375

-7.0761604,2.6367016,2.6367188

-5.7065206,3.9550514,1.3183594

-2.9172692,5.9264555,0.6591797

2.2194276,2.9632273,0.98876816

-0.9372697,1.4816136,1.4831523

-0.4687965,0.13358009,0.7415761

-0.34994137,0.14821371,0.37078798

-0.22859472,0.03842464,0.18539399

-0.2672067,0.02921322,0.092696995

-0.24786767,0.012670845,0.046348497

-0.24670708,0.01742926,0.023174249

