x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-36.35528,-19.675423,8.420799,10.852524,18.662193,43.628983,1710.2593,608.87646,11.701867,34.252033,186.65553,1492.1982,-4.0188293,12,43.628983,50,50
-5.024322,11.585085,16.086689,27.887085,57.88919,73.22464,100.487045,43.363342,122.91467,523.81866,2797.2666,4654.6016,-4.0188293,11,-5.024322,25,25
-28.093264,-19.48405,-11.5040455,-1.1385288,17.312172,19.519737,1095.164,599.46875,272.3835,37.681538,151.58958,210.82277,-4.0188293,10,19.519737,12.5,12.5
9.535581,14.880249,18.788433,29.384596,29.989466,31.027355,20.571491,97.61932,190.12088,594.6085,624.4734,677.4232,-4.0188293,9,9.535581,6.25,18.75
3.2870617,4.797673,9.54153,9.984862,14.1431265,15.155293,2.9341576,0.040936124,20.625492,24.848852,83.59676,103.12998,9.535581,8,3.2870617,3.125,9.375
-5.98238,-5.8457603,-2.0370278,-1.2268162,0.42484093,0.8320732,120.61267,117.630516,49.51976,38.77324,20.932081,17.371614,3.2870617,7,0.8320732,4.6875,4.6875
-3.1275768,-2.6556065,-0.29686856,0.8122473,0.9206934,2.5547318,66.0575,58.608307,28.056814,17.537273,16.640743,5.9793363,3.2870617,6,2.5547318,7.03125,2.34375
1.3530853,3.82942,4.7764845,7.57835,9.09762,9.249258,13.299987,1.3702574,0.049959183,6.647889,16.79049,18.056194,3.2870617,5,1.3530853,3.515625,1.1822368
1.0314811,2.0550637,2.5212598,2.5654783,3.118586,4.149234,15.749141,8.672649,6.144153,5.9268956,3.5397184,0.7238031,3.2870617,4,4.149234,5.2734375,0.59112734
4.308779,6.6799564,6.7699766,6.9324923,8.899256,9.145443,0.4777868,2.8222537,3.1328173,3.7345264,15.204195,17.184698,4.149234,3,4.308779,2.6367188,0.29556367
4.338272,4.9387136,5.28992,6.0380735,6.10958,6.6404066,0.43788382,0.0037560288,0.084053524,1.0775967,1.2311679,2.690934,4.308779,2,4.338272,3.506824,0.14778183
4.5224543,4.564691,4.9414845,6.2391233,6.38179,7.4056063,0.22804993,0.18949386,0.0034240694,1.5354266,1.9093441,5.7869415,4.338272,1,4.5224543,1.7543303,0.07389092
