x0;x1;x2;x3;x4;x5;f(x0);f(x1);f(x2);f(x3);f(x4);f(x5);Step;XVal;x-plus;x-minus
-60;-28.471786;-6.8930206;11.999544;46.000458;60;60.57914;28.844513;5.804829;10.979324;47.713478;59.42086;1;17.338799;30.177666,60;33.106857,60
-15.768059;-5.2733817;20.419743;22.478989;24.575142;47.516464;15.882172;6.8821635;22.319742;21.588423;23.569756;46.789585;2;-0.43777943;15.742905,60;43.929653,60
-44.36743;-36.22205;-12.260553;-2.7542315;1.3420191;15.305125;43.653633;38.11371;12.832591;2.0365133;3.1925135;16.049984;3;13.743206;22.744776,60;22.818764,60
-9.075558;5.783695;9.017267;31.43625;31.64888;36.487984;8.425444;4.873637;9.770285;31.474863;32.087498;34.709557;4;-6.3712935;11.615987,60;18.829105,60
-25.2004;-15.119376;-10.423086;-6.981602;0.91320586;5.2446933;25.071947;14.064522;12.020142;5.7598906;2.4169936;3.6075776;5;5.1285114;16.724663,60;9.754567,60
-4.6260557;0.69549537;3.768994;15.768711;15.946022;21.853174;6.518979;1.9129505;2.6536124;15.653361;15.497971;22.114494;6;-3.010965;8.862355,60;8.469192,60
-11.480157;-10.283476;-8.220696;-7.599843;4.720169;5.85139;13.161409;11.721762;6.4470267;5.760871;2.8202267;5.056236;7;4.749896;13.168478,60;4.2839727,60
0.4659233;7.0099344;10.163086;10.502579;15.984555;17.918373;1.3194942;8.272377;8.884315;8.828833;15.465706;16.393953;8;1.5022126;6.59458,60;5.2294407,60
-3.7272282;2.7224982;3.8099842;5.6108027;6.511908;8.096793;4.7774134;3.4956717;2.6325078;4.4273844;6.9427023;9.941058;9;-0.71906304;3.3207424,60;6.8980203,60
-7.6170835;-6.652953;-4.619137;-0.4389156;-0.3830917;2.6016793;5.770149;5.9662952;6.5108814;-0.36850476;-0.32710904;3.5783963;10;2.1513062;4.637871,60;3.524292,60
-1.3729858;-1.3448757;2.0066402;2.1774096;5.5698123;6.789177;-0.48996258;-0.506842;3.729017;3.738418;4.326475;7.7100596;11;-0.5470712;2.3424904,60;4.56428,60
-5.111351;-4.342721;-2.6561031;-2.4069324;-1.833334;1.7954192;6.862134;6.114371;1.7694845;1.1332957;-0.0015615225;3.647688;12;0.3230667;3.3698575,60;2.3986068,60
-2.07554;2.7487297;2.7871175;3.132673;3.5150611;3.6929243;0.41247308;3.476116;3.446604;3.14962;2.8218517;2.6976624;13;-0.33540916;1.7002053,60;1.8316185,60
-2.1670277;-2.1472838;0.8397659;1.1737146;1.3500375;1.3647962;0.59485817;0.5543572;2.254291;2.9258823;3.2039275;3.2246242;14;-0.6712487;0.8551022,60;1.9400547,60
-2.6113033;-1.4959136;-0.9562206;-0.46305543;-0.06951137;0.1838535;1.6503158;-0.39876187;-0.5961138;-0.3856439;-0.06245391;0.53121054;15;0.14810991;0.5413053,60;1.2076441,60
-1.0595342;-0.8804517;-0.47177547;-0.42993346;0.24592498;0.6894152;-0.5975083;-0.5844989;-0.3917147;-0.3620061;0.7084868;1.8979787;16;-0.9781605;0.273532,60;1.729307,60
-2.7074676;-2.451959;-2.1526234;-1.7392637;-1.3663777;-0.70462847;1.9082956;1.243075;0.56524956;-0.13383782;-0.49406266;-0.526098;17;-0.7254194;0.4017388,60;0.8731715,60
-1.5985909;-1.1722302;-1.0914257;-0.9473609;-0.8154782;-0.3236806;-0.30067527;-0.5788448;-0.5944165;-0.5952065;-0.5678234;-0.28062996;18;-0.672949;0.20428337,60;0.8568808,60
-1.5298297;-1.0604271;-1.0283235;-0.8595233;-0.79156744;-0.46866566;-0.36857617;-0.5974449;-0.59890234;-0.5797864;-0.5601983;-0.38955712;19;-0.589643;0.10330445,60;0.73039085,60
-1.3200338;-0.8201301;-0.7612269;-0.75608134;-0.7356108;-0.48633856;-0.52054083;-0.56921566;-0.5494125;-0.5474627;-0.5393655;-0.40170646;20;-0.9858141;0.051789243,60;1.0546112,60
-2.0404253;-1.8767068;-1.5141507;-1.4569777;-1.2041929;-0.9340249;0.34612644;0.06491792;-0.38280177;-0.43072867;-0.56955254;-0.5936124;21;-0.94201696;0.07436298,60;0.53812444,60
-1.4801414;-1.4169582;-1.171256;-1.0639124;-0.99888146;-0.86765397;-0.41205657;-0.46060324;-0.5790998;-0.5971843;-0.59876406;-0.5816927;22;-0.87280387;0.10446142,60;0.27562138,60
-1.1484252;-1.1276557;-0.94142604;-0.9229622;-0.90237725;-0.76834244;-0.5846019;-0.58882225;-0.5945308;-0.5920838;-0.5887474;-0.5520517;23;-1.0761867;0.054582253,60;0.3796013,60
-1.4557879;-1.4315556;-1.3263476;-1.2500335;-1.1141899;-1.0216044;-0.4316604;-0.4500556;-0.5171671;-0.5530573;-0.59116244;-0.59899414;24;-1.0263109;0.08037547,60;0.19070229,60
-1.2170132;-1.1992859;-1.1533422;-1.08499;-1.0236943;-0.9459354;-0.5653175;-0.5710963;-0.5834936;-0.59517753;-0.5989735;-0.5950491;25;-0.9505689;0.11563126,60;0.096163705,60
-1.0467327;-0.9682341;-0.93393284;-0.90886456;-0.8371821;-0.83493763;-0.59827375;-0.59714955;-0.59360045;-0.58986753;-0.5740606;-0.5734461;26;-1.0201123;0.05782586,60;0.13050695,60
-1.1506193;-1.1450852;-1.0416952;-1.0019094;-0.9870529;-0.9622864;-0.5841125;-0.58533084;-0.59850097;-0.59884274;-0.59831715;-0.59666497;27;-0.96422625;0.08537657,60;0.0661992,60
