x0;x1;x2;x3;x4;x5;f(x0);f(x1);f(x2);f(x3);f(x4);f(x5);Step;XVal;x-plus;x-minus
-60;-46.03369;-36.399765;-29.780243;16.374062;60;14.42263;-14.31402;243.34137;1507.1328;195687.28;1476986.8;1;-57.60508;31.100067,60;83.74199,60
-141.34708;-89.80336;-79.267166;-36.270428;-35.43888;-26.505013;678351.5;23010.613;6352.862;255.20224;340.79315;2857.7437;2;-26.662758;29.071798,60;45.81495,60
-72.47771;-54.939014;-51.394447;-35.68818;-29.785328;2.4090405;2027.3867;-15.671062;-5.821911;313.37766;1505.4967;75821.87;3;-69.83023;17.81193,60;66.40079,60
-136.23102;-125.32233;-124.2539;-70.55669;-62.919388;-52.018303;537550.94;311155.66;293674.03;1359.2712;129.65222;-6.9664736;4;-52.40695;26.235964,60;33.362495,60
-85.76945;-66.797775;-60.92777;-56.65619;-49.033028;-26.170988;14765.677;528.10156;39.165005;-17.744232;-6.1764174;3032.671;5;-26.869576;26.51074,60;21.317873,60
-48.187447;-42.563103;-30.256563;-24.18598;-12.20788;-0.35883522;-8.005875;-9.527741;1359.3402;4238.653;20253.99;60953.17;6;-45.718407;13.568412,60;30.628046,60
-76.34645;-58.025257;-48.471222;-48.457016;-34.451946;-32.149994;4053.34;-12.695833;-7.3128576;-7.3458157;465.40723;872.94916;7;-32.288486;7.8486814,60;20.859148,60
-53.147636;-50.9162;-47.77398;-47.29386;-38.82692;-24.439804;-10.029463;-5.2774315;-9.1290455;-10.552201;81.751076;4067.6445;8;-52.650116;4.5910525,60;30.501642,60
-83.15176;-70.66823;-65.6682;-58.83628;-49.873726;-48.059063;10747.181;1392.9474;373.68985;-5.0503573;-5.180482;-8.3415985;9;-48.126827;3.82606,60;16.73,60
-64.85683;-60.152363;-60.00698;-55.569305;-45.547535;-44.300766;284.02362;17.86515;14.57539;-17.121628;-15.49291;-16.631645;10;-44.394585;4.4738274,60;8.857034,60
-53.251617;-47.40216;-47.02189;-46.251186;-40.035156;-39.920757;-10.356113;-10.22348;-11.388084;-13.711227;36.20755;39.7301;11;-51.89065;2.237362,60;12.724549,60
-64.615204;-63.20705;-61.86484;-59.033512;-57.657745;-49.65329;260.4189;147.89217;74.57517;-2.5212102;-14.891772;-5.352525;12;-49.992004;3.330594,60;6.4923773,60
-56.484383;-51.62893;-51.05052;-48.52305;-46.94523;-46.66141;-17.857647;-6.197268;-5.3994856;-7.19426;-11.624791;-12.4965;13;-51.837452;2.4473274,60;3.6441584,60
-55.48161;-52.553234;-51.01928;-50.90676;-49.492054;-49.390125;-16.955938;-8.285848;-5.3689113;-5.2697806;-5.519468;-5.6425066;14;-54.64275;1.235422,60;2.8609765,60
-57.503727;-56.698994;-55.307877;-55.171844;-54.76017;-53.40733;-15.609357;-17.701128;-16.589905;-16.271574;-15.169558;-10.853605;15;-56.38749;0.638552,60;3.8247118,60
-60.2122;-57.913097;-57.655403;-56.301483;-55.846535;-55.748936;19.280231;-13.44174;-14.903545;-17.87985;-17.550001;-17.416712;16;-55.753506;0.5197585,60;2.0850658,60
-57.83857;-56.543846;-55.807762;-55.45393;-55.45136;-55.233746;-13.899834;-17.828934;-17.499447;-16.90089;-16.895712;-16.41966;17;-55.241028;0.27600673,60;1.3031372,60
-56.544167;-56.07835;-56.060295;-56.04879;-55.512665;-54.96502;-17.828749;-17.78186;-17.76835;-17.759325;-17.016151;-15.741272;18;-56.49077;0.13976116,60;1.9022284,60
-58.392998;-57.953186;-57.931126;-57.394226;-56.632233;-56.351006;-9.744143;-13.183033;-13.326468;-16.051987;-17.765713;-17.883383;19;-56.362156;0.19098271,60;0.9595507,60
-57.321705;-56.92501;-56.691093;-56.452477;-56.237583;-56.171173;-16.315495;-17.368582;-17.709545;-17.868599;-17.865246;-17.838434;20;-56.173244;0.17622907,60;0.5093596,60
-56.682606;-56.60003;-56.35385;-56.273483;-56.05953;-55.997017;-17.718353;-17.791643;-17.883373;-17.874826;-17.767757;-17.714764;21;-56.215797;0.0895024,60;0.3065299,60
-56.522327;-56.501827;-56.315804;-56.302162;-56.301792;-56.126293;-17.840586;-17.850353;-17.88158;-17.879946;-17.879894;-17.813807;22;-56.398132;0.06412035,60;0.31500024,60
-56.71313;-56.675457;-56.646786;-56.63669;-56.334015;-56.33401;-17.685547;-17.725586;-17.752888;-17.76186;-17.88295;-17.88295;23;-56.339287;0.09278114,60;0.15800245,60
-56.497288;-56.488754;-56.43033;-56.41465;-56.371002;-56.246506;-17.85234;-17.855906;-17.874405;-17.877636;-17.88284;-17.867952;24;-56.29387;0.12214249,60;0.08162215,60
-56.375492;-56.303932;-56.211754;-56.19558;-56.18876;-56.171726;-17.882557;-17.880188;-17.856205;-17.84964;-17.846666;-17.838707;25;-56.301563;0.06109038,60;0.10285335,60
-56.404415;-56.370693;-56.365944;-56.279247;-56.242977;-56.240475;-17.879354;-17.882854;-17.883083;-17.876038;-17.866909;-17.866146;26;-56.388348;0.030881437,60;0.084106505,60
-56.472454;-56.44564;-56.397507;-56.382114;-56.359352;-56.357468;-17.862103;-17.870546;-17.88034;-17.88204;-17.883295;-17.883331;27;-56.357662;0.042706933,60;0.04322156,60
-56.400883;-56.381073;-56.380943;-56.340755;-56.322647;-56.314957;-17.879875;-17.882128;-17.882141;-17.88322;-17.882206;-17.881495;28;-56.316975;0.024973031,60;0.022501547,60
