x0;x1;x2;x3;x4;x5;f(x0);f(x1);f(x2);f(x3);f(x4);f(x5);Step;XVal;x-plus;x-minus
-60;-39.106422;-2.5284271;3.3067703;20.252579;60;2074.474;2214.35;2.785089;9.069771;624.06555;2194.474;1;-25.528675;41.925674,60;32.777508,60
-58.306183;-35.894787;-26.066563;-12.267877;1.2270117;16.397;4923.9575;1827.7612;752.773;75.99839;3.31431;259.51062;2;15.965652;56.63415,60;17.409584,60
-1.4439316;24.829107;26.942547;41.618145;46.08998;72.59981;1.6500993;388.182;1075.11;1759.9055;2676.8162;3304.7126;3;0.87188816;28.618042,60;22.271935,60
-21.400047;-18.227146;-6.020194;10.079685;15.876022;29.48993;349.80396;260.80618;14.55062;98.57184;148.9521;1228.7888;4;-16.72057;23.611141,60;25.961945,60
-42.682514;-36.80806;-27.06962;-18.576977;-14.66506;6.8905716;2559.449;1460.1058;978.18365;178.98729;253.36314;46.09597;5;6.3982773;34.514706,60;13.297908,60
-6.8996305;13.857491;15.037411;32.280743;35.008823;40.912983;32.81447;287.26974;215.41956;1156.7368;880.95184;886.5784;6;-3.9881632;19.053576,60;10.498504,60
-14.486667;-12.360004;-7.7611246;-2.7830029;14.106597;15.0654125;275.70068;70.439026;82.07358;2.0435047;312.4148;210.04973;7;10.969914;9.785595,60;5.9878826,60
4.982032;12.655451;14.100244;17.098312;18.897066;20.755508;40.451668;94.00323;312.05463;446.21027;198.25208;620.33655;8;7.125991;5.0784264,60;7.68172,60
-0.5557289;2.077094;2.6994014;9.533677;10.246546;12.204417;-0.31535602;7.533977;7.677112;56.0528;119.0534;105.35458;9;-0.0042389035;2.6238747,60;7.2145324,60
-7.2187715;-4.0121956;-3.6495097;-2.8915443;0.9323317;2.6196358;52.60112;13.450491;6.160467;1.8009315;1.9274646;7.756756;10;2.538649;3.4014087,60;4.0142074,60
-1.4755583;0.012550235;4.27334;5.0194263;5.171889;5.9400578;1.7706614;0.0126290135;28.365803;40.50994;40.033337;27.575953;11;3.250432;1.7081828,60;3.515709,60
-0.2652769;2.3124285;3.2764351;4.5060334;4.5133576;4.958615;-0.22525388;7.893486;8.837958;34.11013;34.272614;40.379597;12;0.14836931;0.87229806,60;3.9167557,60
-3.7683864;-3.5367854;-2.9922779;-0.23253;-0.06406379;1.0206673;8.217632;4.5716305;1.682729;-0.20262362;-0.06199488;2.298579;13;0.8722844;1.2960389,60;1.9806583,60
-1.1083739;0.06171477;0.18252897;1.5557406;1.875163;2.1683233;0.48986948;0.06363361;0.20028512;5.185685;6.8337116;7.7326117;14;-0.94700146;0.65278804,60;2.0997412,60
-3.0467427;-2.7660527;-2.0934358;-0.91007704;-0.5236461;-0.2942134;1.6778395;2.0887194;3.3882952;0.02036041;-0.31798092;-0.24365348;15;-0.3122337;0.9548183,60;1.0767238,60
-1.3889575;-1.0678927;-0.70490754;0.4618852;0.47071376;0.6425846;1.4417572;0.37778962;-0.24783576;0.6109214;0.62707293;0.9973283;16;0.30245018;0.7391603,60;0.5476601,60
-0.24520993;-0.16603786;0.38327006;0.44872195;0.98030686;1.0416105;-0.2116025;-0.15150051;0.47726032;0.58729094;2.123908;2.3925345;17;-0.09761259;0.3707958,60;0.73288953,60
-0.83050215;-0.817074;-0.085553005;0.13807653;0.22530255;0.2731832;-0.1097008;-0.12833112;-0.081839904;0.14797027;0.25321656;0.31593004;18;-0.64610815;0.1875059,60;0.83829445,60
-1.4844027;-1.3635745;-1.0773097;-1.0093658;-0.7351725;-0.45860225;1.8043685;1.3467236;0.40315723;0.23008156;-0.22179413;-0.3122267;19;-0.46973908;0.27912807,60;0.423776,60
-0.8935151;-0.7698477;-0.56095105;-0.4767656;-0.336147;-0.190611;-0.009499729;-0.1863969;-0.31456274;-0.31524318;-0.2673555;-0.17114058;20;-0.21491623;0.19385655,60;0.24008796,60
-0.4550042;-0.3183463;-0.27634674;-0.1171216;-0.050650965;-0.021059677;-0.3115062;-0.25774574;-0.23247793;-0.110075556;-0.049361628;-0.020837726;21;-0.43159512;0.09745122,60;0.23270555,60
-0.6643007;-0.6618832;-0.643977;-0.46396863;-0.44548917;-0.3341439;-0.27592415;-0.2773558;-0.28714;-0.31322652;-0.30940986;-0.26630872;22;-0.5382591;0.119422704,60;0.12306748,60
-0.6613266;-0.54765624;-0.51583314;-0.50650144;-0.47917315;-0.41883639;-0.27768165;-0.31637755;-0.31805164;-0.317854;-0.31556374;-0.30210876;23;-0.42081583;0.06342486,60;0.09031116,60
-0.511127;-0.49965477;-0.46828076;-0.43790033;-0.3889184;-0.35739097;-0.31799003;-0.31751692;-0.31396437;-0.3075424;-0.29154134;-0.27789518;24;-0.5044318;0.03192067,60;0.11878541,60
-0.6232172;-0.5941466;-0.5819889;-0.56204903;-0.5268866;-0.4725111;-0.29670978;-0.30701584;-0.31029004;-0.31438258;-0.31788754;-0.3146308;25;-0.47493684;0.04287364,60;0.061105505,60
